player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
36902,Tijjani Reijnders,489,AC Milan,135,2023,M,37,36,33,3,2830,7.104,1,29,9,3,0,3,0,1689,51,46,8,18,223,109,52,35,22,20,21,8,0,0,0,0,0,0,0.095,0.095,0.922,0.286,1.622,1.463,3.466,0.254,0.0
47300,Theo Hernández,489,AC Milan,135,2023,D,32,32,31,1,2795,7.188,2,41,17,5,0,4,0,1776,45,30,13,23,265,146,69,37,11,50,38,11,1,1,1,1,1,0,0.161,0.129,1.32,0.547,1.449,0.966,4.701,0.354,0.032
17,Christian Pulišić,489,AC Milan,135,2023,M,36,36,32,4,2619,7.289,4,49,31,12,0,8,0,958,45,35,1,10,283,143,101,47,13,45,19,2,0,1,0,0,0,0,0.412,0.275,1.684,1.065,1.546,1.203,4.914,0.069,0.0
22221,Mike Maignan,489,AC Milan,135,2023,G,31,29,29,0,2610,7.217,0,0,0,0,34,1,87,1029,3,1,0,1,17,15,1,1,0,5,1,1,1,0,0,0,0,0,0.0,0.034,0.0,0.0,0.103,0.034,0.517,0.034,0.034
22236,Rafael Leão,489,AC Milan,135,2023,M,34,34,29,5,2524,7.492,17,47,25,9,0,9,0,893,59,16,1,9,316,169,138,77,5,52,27,5,0,2,1,0,0,0,0.321,0.321,1.676,0.891,2.104,0.571,6.026,0.178,0.0
2295,Olivier Giroud,489,AC Milan,135,2023,F,36,35,28,7,2373,7.288,14,68,36,15,0,8,0,484,32,17,3,6,220,103,9,3,12,24,31,1,1,0,1,4,1,0,0.569,0.303,2.579,1.365,1.214,0.645,3.906,0.038,0.038
1627,Davide Calabria,489,AC Milan,135,2023,D,33,29,26,3,2193,6.911,0,16,8,1,0,3,0,1299,13,70,7,24,210,107,20,6,28,19,25,5,2,0,1,0,0,0,0.041,0.123,0.657,0.328,0.534,2.873,4.391,0.205,0.082
19209,Fikayo Tomori,489,AC Milan,135,2023,D,27,26,24,2,2125,7.096,1,15,8,4,0,0,0,1675,4,42,23,26,147,82,4,2,11,9,26,8,1,0,1,0,0,0,0.169,0.0,0.635,0.339,0.169,1.779,3.473,0.339,0.042
2292,Ruben Loftus-Cheek,489,AC Milan,135,2023,M,31,29,26,3,2081,7.06,1,26,14,6,0,1,0,717,25,28,12,9,269,146,50,30,12,45,39,5,0,1,0,0,0,0,0.259,0.043,1.124,0.605,1.081,1.211,6.314,0.216,0.0
769,Alessandro Florenzi,489,AC Milan,135,2023,D,36,31,19,12,1746,7.167,2,26,10,1,0,4,0,1047,46,43,9,20,126,60,12,1,22,9,11,5,0,0,0,0,0,0,0.052,0.206,1.34,0.515,2.371,2.216,3.093,0.258,0.0
163189,Malick Thiaw,489,AC Milan,135,2023,D,24,21,19,2,1620,6.889,0,4,1,0,0,1,0,1179,4,34,13,13,158,86,10,8,13,7,31,5,1,0,1,0,0,0,0.0,0.056,0.222,0.056,0.222,1.889,4.778,0.278,0.056
162106,Yunus Musah,489,AC Milan,135,2023,M,33,30,13,17,1489,6.796,2,8,5,0,0,2,0,601,14,25,4,10,164,82,42,22,7,21,22,5,0,0,0,0,0,0,0.0,0.121,0.484,0.302,0.846,1.511,4.956,0.302,0.0
1265,Yacine Adli,489,AC Milan,135,2023,M,38,24,17,7,1421,7.248,1,2,1,1,0,2,0,1241,23,34,8,20,153,80,30,22,22,9,26,3,0,0,1,0,0,0,0.063,0.127,0.127,0.063,1.457,2.153,5.067,0.19,0.0
56473,Matteo Gabbia,489,AC Milan,135,2023,D,19,18,14,4,1279,7.0,0,10,5,2,0,1,0,897,3,29,6,10,127,74,2,2,6,8,27,5,0,0,0,0,0,0,0.141,0.07,0.704,0.352,0.211,2.041,5.207,0.352,0.0
2045,Simon Kjær,489,AC Milan,135,2023,D,25,20,14,6,1183,7.021,0,3,0,0,0,1,0,830,4,24,16,14,84,49,0,0,8,2,9,1,0,1,0,0,0,0,0.0,0.076,0.228,0.0,0.304,1.826,3.728,0.076,0.0
3173,Ismaël Bennacer,489,AC Milan,135,2023,M,21,20,13,7,1151,7.216,1,7,2,2,0,2,0,778,17,29,4,12,160,85,27,17,11,26,18,2,0,0,0,1,0,0,0.156,0.156,0.547,0.156,1.329,2.268,6.646,0.156,0.0
1696,Samuel Chukwueze,489,AC Milan,135,2023,F,27,24,12,12,1017,6.93,7,18,8,1,0,3,0,393,20,18,1,6,140,60,55,21,8,12,7,1,0,0,0,0,0,0,0.088,0.265,1.593,0.708,1.77,1.593,5.31,0.088,0.0
48389,Noah Okafor,489,AC Milan,135,2023,F,32,28,6,22,881,6.855,2,21,14,6,0,2,0,166,8,6,1,0,97,36,31,14,7,9,12,1,0,0,0,0,0,0,0.613,0.204,2.145,1.43,0.817,0.613,3.678,0.102,0.0
1828,Luka Jović,489,AC Milan,135,2023,F,30,23,8,15,871,6.884,2,16,13,6,0,1,0,177,11,6,0,1,83,42,13,7,2,12,8,2,1,0,0,0,0,0,0.62,0.103,1.653,1.343,1.137,0.62,4.34,0.207,0.103
