league_id,season,fixture_id,fixture_date,fixture_status,round,home_team_id,home_team_name,away_team_id,away_team_name,team_id,team_name,opponent_team_id,opponent_team_name,is_home,player_id,player_name,number,position,rating,captain,substitute,minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,312468,Alex Padilla,26,G,6.7,False,False,90,,,,,1,0,1,36,,19,,,,1,1,,,,,,0,0,,,0,0,0
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47299,Andoni Gorosabel,2,D,6.2,False,False,81,,,,,0,0,,20,,16,1,,,6,2,1,1,1,,3,1,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47271,Yeray Álvarez,5,D,6.9,False,False,90,,,,,0,0,,59,,52,1,,2,10,5,1,,,1,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,183849,Aitor Paredes,4,D,6.6,False,False,81,,,,,0,0,,56,1,49,,1,,6,4,,,1,2,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47273,Yuri Berchiche,17,D,7.2,False,False,90,1,1,1,,0,0,,46,,40,1,,1,7,4,1,1,1,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,182617,Beñat Prados,24,M,6.3,False,False,57,,,,,0,0,,28,1,20,1,,,12,6,2,1,2,1,1,1,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47418,Mikel Vesga,6,M,6.5,False,False,57,,,,,0,0,,38,,27,2,,1,6,2,1,,1,,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47294,Iñaki Williams,9,M,6.7,True,False,90,,1,,,0,0,,22,,15,1,,,8,4,1,1,,1,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,128398,Oihan Sancet,8,M,7.2,False,False,90,,1,1,1,0,0,,23,,18,1,,,6,2,,,,1,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,30510,Álex Berenguer,7,M,6.5,False,False,72,,,,,0,0,,17,,11,1,,,14,7,5,2,,1,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47291,Gorka Guruzeta,12,F,6.9,False,False,90,,,,,0,1,,21,2,16,,1,,12,1,1,,,1,3,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,898,Ander Herrera,21,M,6.6,False,True,33,,,,,0,0,,32,1,27,1,,,9,5,2,1,,2,2,1,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,332308,Unai Gómez,20,M,6.3,False,True,33,,,,,0,0,,8,,7,,,,7,3,2,1,,1,1,1,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,183799,Nico Williams,10,F,7.2,False,True,18,,2,2,,0,0,,6,,4,,,,1,1,1,1,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47278,Daniel Vivian,3,D,6.7,False,True,9,1,,,,0,0,,18,,18,,,,2,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,47276,Íñigo Lekue,15,D,6.9,False,True,9,,,,,0,0,,14,1,13,,,,1,1,,,,1,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,332302,Oier Gastesi,34,G,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,332305,Unai Eguíluz,27,D,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,336998,Adama Boiro,32,D,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,383780,Mikel Jauregizar,31,M,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,179153,Javier Martón Ansó,19,F,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,531,Athletic Club,546,Getafe,True,288525,Malcom Ares,23,F,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,47247,David Soria,13,G,6.9,False,False,90,,,,,1,0,3,16,,6,,,,1,1,,,,,,0,0,,,0,0,0
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,119742,Juan Iglesias,21,D,7.0,False,False,90,,,,,0,0,,13,,7,5,,6,14,6,,,4,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,47250,Djené,2,D,6.9,True,False,90,,,,,0,0,,16,,13,,,2,2,2,,,,1,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,6168,Omar Alderete,15,D,7.3,False,False,90,,,,,0,0,,27,1,16,1,1,,5,4,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,18867,Diego Rico,16,D,6.9,False,False,90,,,,,0,0,,20,1,13,5,,,9,7,,,,1,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,325415,Nabil Aberdin,27,M,7.3,False,False,90,,1,,,0,0,,19,,11,4,,,13,11,1,1,,1,2,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,67955,Carles Pérez,17,M,6.9,False,False,45,,2,,,0,0,,8,1,5,,,,8,4,4,3,,1,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,47085,Luis Milla,5,M,6.6,False,False,90,,,,,0,1,,26,2,15,,,1,12,3,,,2,1,2,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,47258,Mauro Arambarri,8,M,6.3,False,False,40,,,,,0,0,,9,,4,,,,2,,1,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,47306,Álex Sola,7,M,6.3,False,False,79,,1,,,0,0,,10,1,5,1,,,9,3,1,1,2,1,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,403554,Christantus Uche,6,F,7.2,False,False,90,4,1,1,1,0,0,,11,1,7,2,,,15,9,1,,,4,2,1,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,143,Carles Aleñá,11,M,6.9,False,True,50,2,1,1,,0,0,,12,,9,2,,,9,5,1,1,1,2,2,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,270516,Peter González,19,F,6.6,False,True,45,,1,,,0,0,,7,,5,,,,5,2,,,,1,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,364415,Yellu Santiago,20,M,6.6,False,True,11,,,,,0,0,,,,,2,,,4,3,,,,1,1,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,482071,Diego Ferrer,40,G,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,66491,Jiří Letáček,1,G,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,46795,Domingos Duarte,22,D,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208494,2024-08-15T17:00:00+00:00,FT,Regular Season - 1,531,Athletic Club,546,Getafe,546,Getafe,531,Athletic Club,False,465838,Alberto Risco,26,M,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
140,2024,1208495,2024-08-15T19:30:00+00:00,FT,Regular Season - 1,543,Real Betis,547,Girona,543,Real Betis,547,Girona,True,46672,Rui Silva,1,G,6.7,False,False,90,,,,,1,0,1,38,,30,,,,1,1,,,,1,,0,0,,,0,0,0
140,2024,1208495,2024-08-15T19:30:00+00:00,FT,Regular Season - 1,543,Real Betis,547,Girona,543,Real Betis,547,Girona,True,1264,Youssouf Sabaly,23,D,7.0,False,False,90,,1,,,0,0,,28,1,23,2,,1,3,2,,,,,1,0,0,,,0,0,
140,2024,1208495,2024-08-15T19:30:00+00:00,FT,Regular Season - 1,543,Real Betis,547,Girona,543,Real Betis,547,Girona,True,1561,Marc Bartra,5,D,7.7,False,False,90,,1,1,1,0,0,,44,,38,1,1,2,3,2,,,,,,0,0,,,0,0,
140,2024,1208495,2024-08-15T19:30:00+00:00,FT,Regular Season - 1,543,Real Betis,547,Girona,543,Real Betis,547,Girona,True,47302,Diego Llorente,3,D,6.9,False,False,90,,,,,0,0,,53,,44,,2,1,4,2,1,1,,,2,0,0,,,0,0,
140,2024,1208495,2024-08-15T19:30:00+00:00,FT,Regular Season - 1,543,Real Betis,547,Girona,543,Real Betis,547,Girona,True,20600,Romain Perraud,15,D,6.2,False,False,90,1,1,,,0,0,,25,,16,2,,1,14,5,3,2,3,1,2,1,0,,,0,0,
140,2024,1208495,2024-08-15T19:30:00+00:00,FT,Regular Season - 1,543,Real Betis,547,Girona,543,Real Betis,547,Girona,True,1580,William Carvalho,14,M,6.9,False,False,77,,1,1,,0,0,,34,,31,1,1,1,4,2,1,,,,,0,0,,,0,0,
140,2024,1208495,2024-08-15T19:30:00+00:00,FT,Regular Season - 1,543,Real Betis,547,Girona,543,Real Betis,547,Girona,True,47341,Marc Roca,21,M,6.6,False,False,77,,,,,0,0,,18,1,14,,,1,,,,,,,,0,0,,,0,0,
