player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
280,Alisson Becker,Alisson Ramsés,Becker,33,Brazil,193,91,False,40,Liverpool,39,Premier League,2020,33,33,2970,Goalkeeper,6.945454,False,0,0,0,1,1,1,,32,84,988,,,3,,2,25,22,2,2,,5,1,1,0,0,,,0,0,0
289,A. Robertson,Andrew Henry,Robertson,31,Scotland,178,64,False,40,Liverpool,39,Premier League,2020,38,38,3386,Defender,7.089473,False,0,3,0,14,5,1,7,0,,2680,66,59,46,9,21,227,113,53,28,,10,23,2,0,0,,,0,0,
641,O. Zinchenko,Oleksandr,Zinchenko,29,Ukraine,175,64,False,50,Manchester City,39,Premier League,2020,20,15,1474,Defender,6.985000,False,5,1,13,9,4,0,,0,,1368,15,61,25,4,23,107,64,9,6,,4,9,0,0,0,,,0,0,
643,Gabriel Jesus,Gabriel Fernando,de Jesus,28,Brazil,175,73,False,50,Manchester City,39,Premier League,2020,29,22,2060,Attacker,7.051724,False,7,4,8,33,16,9,4,0,,732,32,,17,,15,285,129,70,48,,46,28,2,0,0,,,0,0,
727,R. Nelson,Reiss Luke,Nelson,26,England,175,71,False,42,Arsenal,39,Premier League,2020,2,0,69,Attacker,6.600000,False,2,0,6,1,,0,,0,,17,,,1,,1,9,3,4,1,,1,2,0,0,0,,,0,0,
978,K. Havertz,Kai Lukas,Havertz,26,Germany,193,83,False,49,Chelsea,39,Premier League,2020,27,18,1521,Attacker,6.692307,False,9,10,13,27,16,4,3,0,,766,18,,18,,4,199,80,37,19,,15,27,2,0,0,,,0,0,
1460,B. Saka,Bukayo Ayoyinka Temidayo,Saka,24,England,178,72,False,42,Arsenal,39,Premier League,2020,32,30,2562,Attacker,6.878125,False,2,11,6,38,20,5,3,0,,978,41,,25,2,25,328,148,87,46,,64,28,1,0,0,,,0,0,
1600,K. Tsimikas,Konstantinos,Tsimikas,29,Greece,179,77,False,40,Liverpool,39,Premier League,2020,2,0,5,Defender,6.300000,False,2,0,22,,,0,,0,,5,,,,,,3,,,,,,1,0,0,0,,,0,0,
1946,L. Trossard,Leandro,Trossard,31,Belgium,172,61,False,51,Brighton,39,Premier League,2020,35,30,2621,Attacker,7.048571,False,5,17,6,42,23,5,5,0,,998,51,,33,2,26,272,108,68,39,,32,27,2,0,0,,,0,0,
2273,Kepa,Kepa,Arrizabalaga Revuelta,31,Spain,189,84,False,49,Chelsea,39,Premier League,2020,7,6,584,Goalkeeper,6.557142,False,1,0,29,,,0,,8,16,205,,,,,,1,,,,,,,1,0,0,,,0,0,1
2937,D. Rice,Declan,Rice,26,England,188,84,False,48,West Ham,39,Premier League,2020,32,32,2880,Midfielder,7.090625,False,0,1,0,20,8,2,1,0,,1526,23,41,59,11,59,249,144,34,29,,13,21,2,0,0,,,1,1,
18979,V. Gyökeres,Viktor Einar,Gyökeres,27,Sweden,189,90,False,51,Brighton,39,Premier League,2020,0,0,0,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18994,L. Peltier,Lee Anthony,Peltier,38,England,178 cm,73 kg,False,60,West Brom,39,Premier League,2020,4,3,229,Defender,6.525000,False,1,1,24,,,0,,0,,65,1,,9,1,1,17,13,1,1,,,4,1,0,0,,,0,0,
19586,E. Eze,Eberechi Oluchi,Eze,27,England,178,73,False,52,Crystal Palace,39,Premier League,2020,34,29,2564,Midfielder,6.870588,False,5,10,7,26,13,4,6,0,,1088,43,,27,3,24,328,175,118,64,,72,18,3,0,0,,,0,0,
19959,B. White,Benjamin William,White,28,England,186,76,False,51,Brighton,39,Premier League,2020,36,36,3195,Defender,6.766666,False,0,4,1,4,1,0,,0,,1747,8,40,49,22,62,261,131,32,24,,9,30,4,1,0,,,0,0,
22090,W. Saliba,William Alain André Gabriel,Saliba,24,France,192,92,False,42,Arsenal,39,Premier League,2020,0,0,0,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
22224,Gabriel Magalhães,Gabriel,dos Santos Magalhães,28,Brazil,190,78,False,42,Arsenal,39,Premier League,2020,23,22,1996,Defender,6.978260,False,1,0,11,11,4,2,,0,,1553,2,57,25,19,25,189,113,6,5,,26,23,3,1,0,,,0,0,
37127,M. Ødegaard,Martin,Ødegaard,27,Norway,178,68,False,42,Arsenal,39,Premier League,2020,14,9,866,Midfielder,6.878571,False,5,5,7,6,3,1,2,0,,496,20,,9,,2,72,33,17,13,,9,1,0,0,0,,,0,0,
127769,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,24,Brazil,178,75,False,42,Arsenal,39,Premier League,2020,14,7,588,Attacker,6.807692,False,7,5,16,17,8,2,1,0,,144,9,,7,,8,78,31,25,13,,4,9,0,0,0,,,0,0,
162904,R. Williams,Rhys,Williams,24,England,195,82,False,40,Liverpool,39,Premier League,2020,9,7,660,Defender,6.933333,False,2,1,18,5,,0,,0,,504,2,48,6,3,6,50,38,,,,2,4,0,0,0,,,0,0,
164,B. Davies,Benjamin Thomas,Davies,32,Wales,181,77,False,47,Tottenham,39,Premier League,2020,20,14,1340,Defender,6.731578,False,6,0,15,2,,0,1,0,,645,8,,27,5,18,134,69,7,3,,13,19,1,0,0,,,0,0,
284,J. Gomez,Joseph Dave,Gomez,28,England,188,80,False,40,Liverpool,39,Premier League,2020,7,6,590,Defender,6.657142,False,1,1,1,,,0,,0,,556,1,71,3,2,4,64,34,4,4,,6,6,0,0,0,,,0,0,
290,V. van Dijk,Virgil,van Dijk,34,Netherlands,195,92,False,40,Liverpool,39,Premier League,2020,5,5,371,Defender,6.680000,False,0,1,0,3,2,1,,0,,341,,61,3,1,5,27,17,,,,2,4,1,0,0,,,0,0,
293,C. Jones,Curtis Julian,Jones,24,England,185,78,False,40,Liverpool,39,Premier League,2020,24,13,1177,Midfielder,6.717391,False,11,9,23,12,9,1,2,0,,966,12,,16,,19,158,65,34,22,,13,18,2,0,0,,,0,0,
