league_id,season,fixture_id,fixture_date,fixture_status,round,home_team_id,home_team_name,away_team_id,away_team_name,team_id,team_name,opponent_team_id,opponent_team_name,is_home,player_id,player_name,number,position,rating,captain,substitute,minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,1622,Gianluigi Donnarumma,99,G,6.6,False,False,90,,,,,0,,,13,,13,,,,,,,,,,,0,0,,,0,0,0
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,9,Achraf Hakimi,2,D,8.2,False,False,90,,,,,0,,,108,6,102,1,,4,6,1,,,,,1,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,381,Danilo Pereira,15,D,7.9,True,False,90,,,,,0,,,157,,151,,,,2,1,1,1,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,198,Milan Škriniar,37,D,7.5,False,False,90,,,,,0,,,146,,143,1,,,9,2,,,,,1,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,33,Lucas Hernández,21,D,7.9,False,False,82,,1,,,0,,,98,1,92,3,,,9,8,1,1,,2,1,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,336657,Warren Zaïre-Emery,33,M,7.3,False,False,90,,,,,0,,,113,,106,,1,1,3,,1,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,51494,Manuel Ugarte,4,M,8.0,False,False,90,,1,,,0,,,94,,88,2,,1,15,8,3,3,1,2,4,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,128384,Vitinha,17,M,7.3,False,False,68,,1,,,0,,,60,1,55,2,,2,5,3,2,1,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,927,Kang-in Lee,19,F,7.2,False,False,82,,,,,0,,,59,1,52,1,,,6,3,3,2,1,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,41585,Gonçalo Ramos,9,F,7.5,False,False,90,,4,1,,0,,,24,,20,,,,8,5,1,1,1,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,746,Marco Asensio,11,F,7.2,False,False,69,,1,1,,0,,,49,3,43,,,,2,1,,,,1,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,930,Carlos Soler,28,M,7.2,False,True,21,,3,1,,0,,,22,1,19,,,,1,1,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,328,Fabián Ruiz,8,M,6.9,False,True,22,,1,1,,0,,,21,2,20,,,,,,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,174565,Hugo Ekitiké,44,F,6.6,False,True,8,,,,,0,,,8,1,7,,,,2,,,,,,1,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,257,Marquinhos,5,D,6.9,False,True,8,,,,,0,,,29,,28,,,,1,,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,162473,Arnau Tenas,40,G,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,731,Keylor Navas,1,G,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,263,Layvin Kurzawa,32,D,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,310196,Ismael Gharbi,35,M,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,85,Paris Saint Germain,97,Lorient,True,311083,Cher Ndour,27,M,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,1142,Yvon Mvogo,38,G,7.6,False,False,90,,,,,0,,4,28,,18,,,,,,,,,,,0,0,,,0,0,0
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,24245,Gedeon Kalulu,24,D,6.6,False,False,90,,,,,0,,,35,,25,,,,3,,1,,,,2,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,193501,Bamo Meïté,18,D,7.5,False,False,90,,,,,0,,,22,,19,1,2,2,6,2,,,1,1,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,20766,Julien Laporte,15,D,7.3,False,False,90,,,,,0,,,24,,19,1,1,1,7,3,,,1,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,50030,Montassar Talbi,3,D,7.3,False,False,90,,,,,0,,,25,,20,,1,1,3,2,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,20625,Vincent Le Goff,25,D,6.9,False,False,79,,,,,0,,,26,,19,2,1,1,2,2,,,,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,84082,Romain Faivre,14,M,7.0,False,False,90,,1,,,0,,,29,,23,1,1,1,12,6,3,2,1,2,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,20917,Laurent Abergel,19,M,7.9,True,False,90,,1,,,0,,,25,1,23,4,2,7,8,5,,,3,1,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,22171,Jean-Victor Makengo,17,M,6.5,False,False,59,,,,,0,,,17,,12,,,1,3,,,,,,3,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,174703,Théo Le Bris,37,M,6.9,False,False,90,,,,,0,,,26,1,18,4,,,7,4,1,,2,,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,284072,Ahmadou Bamba Dieng,11,F,6.6,False,False,59,,,,,0,,,10,,7,,,,7,6,,,,2,,0,0,,,0,0,
61,2023,1044881,2023-08-12T19:00:00+00:00,FT,Regular Season - 1,85,Paris Saint Germain,97,Lorient,97,Lorient,85,Paris Saint Germain,False,20641,Julien Ponceau,21,M,6.7,False,True,31,,1,,,0,,,14,,11,,,1,2,,,,,,1,0,0,,,0,0,
