league_id,season,fixture_id,fixture_date,fixture_status,round,home_team_id,home_team_name,away_team_id,away_team_name,team_id,team_name,opponent_team_id,opponent_team_name,is_home,player_id,player_name,number,position,rating,captain,substitute,minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,1800,Kevin Trapp,1,G,8.4,False,False,90,,0,0,,0,,7,14,0,,,,0,2,2,0,0,,0,0,0,0,,,0,0,0
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,163,Serge Aurier,19,D,7.4,False,False,90,,2,0,,,1,,31,2,,,,0,17,11,1,1,1,1,2,1,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,2283,David Luiz,32,D,7.1,False,False,90,,2,0,,,,,25,1,,,,3,5,2,0,0,1,0,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,262,Presnel Kimpembe,3,D,7.3,False,False,90,,1,0,,,,,38,0,,,,3,6,3,1,1,,0,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,263,Layvin Kurzawa,20,D,7.8,False,False,90,,2,2,1,,,,40,3,,,,1,5,2,3,2,,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,781,Javier Pastore,10,M,7.6,False,False,80,,2,0,,,,,71,1,,,,1,10,5,2,1,3,0,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,85062,Thiago Motta,8,M,7.6,False,False,90,,1,0,,,,,91,1,,,,0,16,11,1,1,2,0,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,272,Adrien Rabiot,25,M,7.5,False,False,72,,1,0,,,,,57,2,,,,1,13,9,5,3,1,1,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,178,Lucas Moura,7,M,7.6,False,False,65,,2,2,1,,,,29,2,,,,0,9,4,3,2,1,0,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,274,Edinson Cavani,9,F,6.7,False,False,90,,6,2,,,,,21,2,,,,0,2,1,1,1,,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,266,Ángel Di María,11,F,10.0,False,False,90,,6,1,,,2,,56,8,,,,1,16,10,6,5,2,3,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,869,Blaise Matuidi,14,M,6.9,False,True,18,,0,0,,,,,17,0,,,,0,5,3,0,0,,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,273,Marco Verratti,6,M,7.8,False,True,25,,2,1,1,,,,36,1,,,,2,9,5,2,1,2,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,85,Paris Saint Germain,112,Metz,True,2205,Hatem Ben Arfa,21,F,6.6,False,True,10,,1,0,,,,,9,0,,,,0,6,3,2,2,,1,2,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,1405,Thomas Didillon,1,G,6.2,False,False,90,,0,0,,3,,3,10,0,,,,0,1,0,0,0,1,0,0,0,0,,,0,0,0
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,20523,Jonathan Rivierez,3,D,7.0,False,False,90,,0,0,,,,,31,1,,,,1,9,6,1,1,3,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,87225,Guido Milan,5,D,6.8,False,False,90,,0,0,,,,,12,0,,,,2,3,2,0,0,1,1,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,1804,Simon Falette,6,D,7.6,False,False,90,,1,1,,,,,19,0,,,,2,6,5,2,2,,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,87227,Franck Signorino,13,D,6.4,False,False,90,,0,0,,,,,17,1,,,,5,4,1,0,0,1,0,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,47462,Cheick Doukouré,10,M,6.6,False,False,71,,1,0,,,,,26,1,,,,1,16,6,1,1,5,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,3404,Georges Mandjeck,14,M,7.2,False,False,90,,0,0,,,,,21,3,,,,3,12,5,2,2,3,0,2,1,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,85074,Yann Jouffre,8,M,6.2,False,False,81,,1,0,,,,,34,1,,,,0,8,1,0,0,,1,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,20527,Renaud Cohade,24,M,7.2,False,False,90,,2,1,,,,,36,2,,,,1,19,10,3,3,3,3,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,20533,Opa Nguette,11,F,5.6,False,False,70,,1,1,,,,,6,1,,,,0,20,5,6,3,3,2,1,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,49985,Mevlüt Erdinç,9,F,6.2,False,False,90,,2,1,,,,,9,0,,,,0,8,3,2,0,,1,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,21582,Florent Mollet,19,M,6.7,False,False,9,,1,0,,,,,4,0,,,,1,2,2,0,0,,1,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,2218,Ismaila Sarr,26,M,6.5,False,False,20,,1,1,,,,,4,0,,,,1,5,2,2,1,,0,0,0,0,,,0,0,
61,2016,93505,2016-08-21T18:45:00+00:00,FT,Regular Season - 2,85,Paris Saint Germain,112,Metz,112,Metz,85,Paris Saint Germain,False,20535,Habib Diallo,17,F,6.4,False,False,19,,1,1,,,,,4,0,,,,0,8,2,2,0,,1,1,0,0,,,0,0,
