player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
47352,Fernando Pacheco,542,Alaves,140,2017,G,38,38,37,1,3357,6.874,0,0,0,0,50,0,123,480,0,0,0,3,8,8,1,1,0,3,0,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.054,0.0
47356,Rodrigo Ely,542,Alaves,140,2017,D,31,31,30,1,2692,6.915,0,18,4,1,0,0,0,748,2,7,8,50,254,163,3,3,15,19,29,12,1,0,3,0,0,0,0.033,0.0,0.602,0.134,0.067,0.234,5.449,0.401,0.033
2060,Munir El Haddadi,542,Alaves,140,2017,F,33,33,32,1,2456,7.149,0,62,23,10,0,6,0,445,41,6,0,9,411,201,51,28,9,114,33,9,1,0,0,0,0,0,0.366,0.22,2.272,0.843,1.502,0.22,7.366,0.33,0.037
1702,Alfonso Pedraza,542,Alaves,140,2017,M,33,33,32,1,2441,6.654,0,43,13,3,0,5,0,407,30,4,1,32,335,142,98,43,37,22,46,5,0,2,0,0,0,0,0.111,0.184,1.585,0.479,1.106,0.147,5.236,0.184,0.0
47363,Manu García,542,Alaves,140,2017,M,30,30,27,3,2438,6.824,0,26,8,3,0,0,0,722,16,10,1,35,472,254,27,18,65,72,65,9,0,0,0,0,2,0,0.111,0.0,0.96,0.295,0.591,0.369,9.377,0.332,0.0
47365,Tomás Pina,542,Alaves,140,2017,M,30,30,30,0,2392,6.828,0,13,3,1,0,0,0,794,10,15,1,43,341,164,22,19,20,29,72,8,0,0,0,0,0,0,0.038,0.0,0.489,0.113,0.376,0.564,6.171,0.301,0.0
47283,Ibai Gómez,542,Alaves,140,2017,M,34,34,32,2,2324,6.891,0,54,24,7,0,6,0,596,40,4,1,15,232,84,80,38,24,19,17,1,0,0,0,1,0,0,0.271,0.232,2.091,0.929,1.549,0.155,3.253,0.039,0.0
44423,Alexis Ruano,542,Alaves,140,2017,D,28,28,26,2,2184,6.703,0,13,3,1,0,0,0,482,5,6,2,30,148,81,8,6,25,14,20,6,0,0,0,0,0,0,0.041,0.0,0.536,0.124,0.206,0.247,3.338,0.247,0.0
47355,Rubén Duarte,542,Alaves,140,2017,D,24,24,24,0,2141,6.889,0,8,0,0,0,2,0,460,19,5,0,44,257,146,15,10,24,35,47,10,1,0,2,0,0,0,0.0,0.084,0.336,0.0,0.799,0.21,6.137,0.42,0.042
47354,Martín Aguirregabiria,542,Alaves,140,2017,D,21,21,21,0,1829,6.937,0,3,1,0,0,4,0,444,14,8,6,41,179,101,34,16,18,18,19,4,0,0,0,0,0,0,0.0,0.197,0.148,0.049,0.689,0.394,4.97,0.197,0.0
47357,Víctor Laguardia,542,Alaves,140,2017,D,17,17,17,0,1530,6.959,0,5,2,2,0,0,0,382,1,5,7,29,109,71,1,1,8,5,10,3,0,0,1,0,0,0,0.118,0.0,0.294,0.118,0.059,0.294,4.176,0.176,0.0
2553,Guillermo Maripán,542,Alaves,140,2017,D,19,19,18,1,1527,6.845,0,4,1,0,0,0,0,351,1,8,4,36,129,71,11,10,15,4,15,4,0,0,0,0,0,0,0.0,0.0,0.236,0.059,0.059,0.472,4.185,0.236,0.0
937,Rubén Sobrino,542,Alaves,140,2017,F,28,28,19,9,1461,6.887,0,25,13,3,0,2,0,284,21,8,0,18,319,144,39,25,21,32,37,5,0,0,0,0,0,0,0.185,0.123,1.54,0.801,1.294,0.493,8.871,0.308,0.0
47371,John Guidetti,542,Alaves,140,2017,F,17,17,17,0,1231,6.828,0,28,11,3,0,3,0,226,13,3,1,2,165,60,11,7,8,16,31,3,0,0,1,0,0,0,0.219,0.219,2.047,0.804,0.95,0.219,4.387,0.219,0.0
