player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
406,Salif Sané,Salif,Sané,34,Senegal,196 cm,85 kg,False,174,FC Schalke 04,78,Bundesliga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,D. Caligiuri,Daniel,Caligiuri,35,Germany,182 cm,80 kg,False,170,FC Augsburg,78,Bundesliga,2022,13,2,281,Midfielder,6.800000,False,11,1,31,4,2,1,,0,,120,4,,8,2,3,41,22,9,5,,4,5,1,0,0,,,0,0,
1805,Martin Josef Hinteregger,Martin Josef,Hinteregger,33,Austria,186 cm,82 kg,False,169,Eintracht Frankfurt,78,Bundesliga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25298,A. Hahn,André,Hahn,33,Germany,185 cm,80 kg,False,170,FC Augsburg,78,Bundesliga,2022,7,4,389,Midfielder,6.728571,False,3,1,3,4,2,2,,0,,74,1,,9,2,4,57,26,5,1,,3,8,1,0,0,,,0,0,
25333,R. Jarstein,Rune,Almenning Jarstein,39,Norway,192 cm,88 kg,False,159,Hertha BSC,78,Bundesliga,2022,0,0,0,Goalkeeper,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
25344,M. Plattenhardt,Marvin,Plattenhardt,31,Germany,181 cm,76 kg,False,159,Hertha BSC,78,Bundesliga,2022,31,29,2407,Defender,6.729032,False,2,7,3,7,1,0,2,0,,785,30,,43,11,15,170,96,15,3,,31,21,3,0,0,,,0,0,
25640,T. Strobl,Tobias,Strobl,33,Germany,188 cm,77 kg,False,170,FC Augsburg,78,Bundesliga,2022,0,0,0,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
26258,N. Petersen,Nils,Petersen,35,Germany,188 cm,84 kg,False,160,SC Freiburg,78,Bundesliga,2022,27,0,250,Attacker,6.461904,False,27,0,34,7,2,1,,0,,74,1,,6,2,1,61,22,4,,,2,5,1,0,0,,,0,0,
163072,M. Morgenstern,Marlon,Morgenstern,24,Germany,184,68,False,159,Hertha BSC,78,Bundesliga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202942,F. Otto,Fynn,Otto,23,Germany,192,78,False,169,Eintracht Frankfurt,78,Bundesliga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280044,J. Horz,Jannik Reiner,Horz,22,Germany,193,,False,169,Eintracht Frankfurt,78,Bundesliga,2022,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280411,B. Klefisch,Ben,Klefisch,22,Germany,186,80,False,173,RB Leipzig,78,Bundesliga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286369,J. Schröder,Jan Alex,Wilson Schröder,20,Germany,182 cm,73 kg,False,169,Eintracht Frankfurt,78,Bundesliga,2022,0,0,0,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
323950,Enrique Herrero,Juan Enrique,Herrero Garcia,19,Spain,173 cm,67 kg,False,169,Eintracht Frankfurt,78,Bundesliga,2022,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327888,N. Simić,Noa-Gabriel,Simić,21,Croatia,,,False,165,Borussia Dortmund,78,Bundesliga,2022,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330612,T. Buchmann,Tarek,Buchmann,20,Germany,188,79,False,157,Bayern München,78,Bundesliga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330625,L. Köhl,Leon,Köhl,19,Germany,,,False,168,Bayer Leverkusen,78,Bundesliga,2022,0,0,0,Midfielder,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
336224,M. Pannewig,Mats Henry,Pannewig,21,Germany,195,92,False,176,VfL Bochum,78,Bundesliga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339221,N. Böll,Nico Jan,Böll,18,Germany,,,False,176,VfL Bochum,78,Bundesliga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409050,L. Britscho,Louis,Britscho,18,Germany,,,False,174,FC Schalke 04,78,Bundesliga,2022,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,M. Wolf,Marius,Wolf,30,Germany,188,81,False,165,Borussia Dortmund,78,Bundesliga,2022,25,17,1568,Midfielder,6.920000,False,8,6,10,16,6,1,1,0,,851,23,,25,10,18,151,87,56,34,,22,12,2,0,0,,,0,0,
26,M. Wolf,Marius,Wolf,30,Germany,188,81,False,170,FC Augsburg,78,Bundesliga,2022,27,22,1584,Midfielder,6.920000,False,5,,,16,6,1,1,0,,851,23,,25,10,18,151,87,56,34,,22,12,2,,0,,,0,0,
416,S. Rudy,Sebastian,Rudy,33,Germany,180 cm,74 kg,False,167,1899 Hoffenheim,78,Bundesliga,2022,22,6,784,Midfielder,6.700000,False,16,5,25,4,2,0,1,0,,400,14,,26,7,11,100,42,3,,,9,22,3,0,0,,,0,0,
714,N. Amiri,Nadiem,Amiri,29,Germany,180,75,False,168,Bayer Leverkusen,78,Bundesliga,2022,25,9,968,Midfielder,6.696000,False,16,7,20,16,9,4,1,0,,484,15,,15,1,6,116,59,32,18,,25,14,6,0,0,,,1,0,
714,N. Amiri,Nadiem,Amiri,29,Germany,180,75,False,164,FSV Mainz 05,78,Bundesliga,2022,29,20,979,Midfielder,6.696000,False,9,,,16,9,4,1,0,,484,15,,15,1,6,116,59,32,18,,25,14,6,,0,,,1,0,
975,J. Baumgartlinger,Julian,Baumgartlinger,35,Austria,181 cm,85 kg,False,170,FC Augsburg,78,Bundesliga,2022,16,3,543,Midfielder,6.606666,False,13,1,24,1,,0,,0,,223,2,,15,2,4,63,32,3,1,,9,5,1,0,0,,,0,0,
976,K. Bellarabi,Karim,Bellarabi,33,Germany,184 cm,81 kg,False,168,Bayer Leverkusen,78,Bundesliga,2022,8,1,79,Attacker,6.440000,False,7,1,15,,,0,,0,,48,,,2,,,12,3,5,1,,,2,0,0,0,,,0,0,
1124,O. Burke,Oliver Jasen,Burke,28,Scotland,188,74,False,162,Werder Bremen,78,Bundesliga,2022,15,1,254,Attacker,6.621428,False,14,1,17,7,5,2,,0,,74,4,,1,,,34,13,6,2,,4,3,0,0,0,,,0,0,
1124,O. Burke,Oliver Jasen,Burke,28,Scotland,188,74,False,182,Union Berlin,78,Bundesliga,2022,18,8,267,Attacker,6.621428,False,10,,,7,5,2,,0,,74,4,,1,,,34,13,6,2,,4,3,0,,0,,,0,0,
2802,Y. Sommer,Yann,Sommer,37,Switzerland,183,79,False,157,Bayern München,78,Bundesliga,2022,19,19,1710,Goalkeeper,6.600000,False,0,0,0,,,0,,25,30,665,,,,,1,14,10,2,2,,2,1,1,0,0,,,0,0,0
2802,Y. Sommer,Yann,Sommer,37,Switzerland,183,79,False,163,Borussia Mönchengladbach,78,Bundesliga,2022,19,19,1714,Goalkeeper,6.600000,False,0,,,,,,,25,30,665,,,,,1,14,10,2,2,,2,1,1,,0,,,0,0,0
19068,F. Passlack,Felix,Passlack,27,Germany,170,74,False,165,Borussia Dortmund,78,Bundesliga,2022,3,0,61,Defender,6.933333,False,3,0,23,,,0,,0,,32,2,,4,1,,9,7,1,1,,1,,0,0,0,,,0,0,
19068,F. Passlack,Felix,Passlack,27,Germany,170,74,False,176,VfL Bochum,78,Bundesliga,2022,23,12,61,Defender,6.933333,False,11,,,,,,,0,,32,2,,4,1,,9,7,1,1,,1,,0,,0,,,0,0,
24801,J. Hector,Jonas Armin,Hector,33,Germany,185 cm,75 kg,False,192,1. FC Köln,78,Bundesliga,2022,32,32,2826,Defender,7.037500,False,0,2,0,18,5,0,2,0,,1429,32,,112,9,38,414,277,48,32,,77,23,3,0,0,,,0,0,
25307,M. Richter,Marco,Richter,28,Germany,176,74,False,159,Hertha BSC,78,Bundesliga,2022,29,21,1843,Midfielder,6.848275,False,8,14,9,41,15,6,5,0,,581,20,,43,2,24,297,125,79,36,,33,36,8,0,0,,,0,0,
25307,M. Richter,Marco,Richter,28,Germany,176,74,False,164,FSV Mainz 05,78,Bundesliga,2022,30,24,1842,Midfielder,6.848275,False,6,,,41,15,6,5,0,,581,20,,43,2,24,297,125,79,36,,33,36,8,,0,,,0,0,
25342,M. Mittelstädt,Maximilian,Mittelstädt,28,Germany,180,71,False,159,Hertha BSC,78,Bundesliga,2022,17,7,842,Defender,6.706250,False,10,3,24,3,2,0,,0,,326,11,,40,2,27,150,78,32,19,,9,13,5,0,0,,,0,0,
25342,M. Mittelstädt,Maximilian,Mittelstädt,28,Germany,180,71,False,172,VfB Stuttgart,78,Bundesliga,2022,31,18,851,Defender,6.706250,False,13,,,3,2,,,0,,326,11,,40,2,27,150,78,32,19,,9,13,5,,0,,,0,0,
25413,E. Rexhbeçaj,Elvis,Rexhbeçaj,28,Kosovo,182,78,False,161,VfL Wolfsburg,78,Bundesliga,2022,0,0,0,Midfielder,6.651612,False,0,0,0,11,5,0,,0,,886,12,,51,13,17,251,141,15,6,,49,27,0,0,0,,,0,0,
25413,E. Rexhbeçaj,Elvis,Rexhbeçaj,28,Kosovo,182,78,False,170,FC Augsburg,78,Bundesliga,2022,31,31,2535,Midfielder,6.651612,False,0,,,11,5,,,0,,886,12,,51,13,17,251,141,15,6,,49,27,6,,0,,,0,0,
46930,E. Demirović,Ermedin,Demirović,27,Bosnia and Herzegovina,185,84,False,170,FC Augsburg,78,Bundesliga,2022,30,30,2383,Attacker,6.853333,False,0,14,0,52,24,8,4,0,,504,29,,31,4,14,374,146,48,19,,31,49,7,0,1,,,1,0,
