player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
404,B. Oczipka,Bastian,Oczipka,34,Germany,185 cm,85 kg,False,182,Union Berlin,78,Bundesliga,2021,18,9,927,Defender,6.960000,False,9,4,18,4,1,0,1,0,,391,17,,24,2,12,94,62,25,15,,13,10,1,0,0,,,0,0,
410,D. Caligiuri,Daniel,Caligiuri,35,Germany,182 cm,80 kg,False,170,FC Augsburg,78,Bundesliga,2021,28,24,2014,Midfielder,6.907142,False,4,16,8,26,13,4,2,0,,667,23,,46,5,18,322,159,64,40,,43,32,4,0,0,,,3,0,
416,S. Rudy,Sebastian,Rudy,33,Germany,180 cm,74 kg,False,167,1899 Hoffenheim,78,Bundesliga,2021,21,7,764,Midfielder,6.563157,False,14,4,18,10,5,3,1,0,,379,8,,22,3,11,80,37,4,3,,6,12,5,0,0,,,0,0,
975,J. Baumgartlinger,Julian,Baumgartlinger,35,Austria,181 cm,85 kg,False,168,Bayer Leverkusen,78,Bundesliga,2021,6,1,84,Midfielder,6.466666,False,5,1,10,,,0,,0,,69,,,3,,2,8,4,,,,,2,1,0,0,,,0,0,
976,K. Bellarabi,Karim,Bellarabi,33,Germany,184 cm,81 kg,False,168,Bayer Leverkusen,78,Bundesliga,2021,16,9,685,Attacker,6.800000,False,7,10,8,18,11,3,2,0,,235,9,,9,,9,92,33,33,17,,7,20,2,0,0,,,0,0,
24801,J. Hector,Jonas Armin,Hector,33,Germany,185 cm,75 kg,False,192,1. FC Köln,78,Bundesliga,2021,30,30,2556,Defender,7.086666,False,0,3,0,14,5,0,6,0,,1324,37,,76,8,50,321,194,31,16,,53,28,3,0,0,,,0,0,
25298,A. Hahn,André,Hahn,33,Germany,185 cm,80 kg,False,170,FC Augsburg,78,Bundesliga,2021,32,25,2112,Midfielder,6.743750,False,7,19,7,38,20,5,2,0,,401,19,,35,5,15,317,124,31,13,,18,56,5,0,0,,,0,0,
25302,J. Morávek,Jan,Morávek,34,Czechia,180 cm,78 kg,False,170,FC Augsburg,78,Bundesliga,2021,17,5,464,Midfielder,6.385714,False,12,5,16,1,,0,,0,,186,7,,11,2,6,68,27,10,5,,2,5,1,0,0,,,0,0,
25333,R. Jarstein,Rune,Almenning Jarstein,39,Norway,192 cm,88 kg,False,159,Hertha BSC,78,Bundesliga,2021,0,0,0,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25344,M. Plattenhardt,Marvin,Plattenhardt,31,Germany,181 cm,76 kg,False,159,Hertha BSC,78,Bundesliga,2021,21,19,1638,Defender,7.095652,False,2,3,6,7,3,0,4,0,,698,44,,28,4,19,133,77,16,11,,22,15,3,0,0,,,0,0,
25640,T. Strobl,Tobias,Strobl,33,Germany,188 cm,77 kg,False,170,FC Augsburg,78,Bundesliga,2021,5,4,324,Midfielder,6.560000,False,1,2,3,2,1,0,,0,,92,1,,8,2,7,39,18,1,1,,2,6,1,0,0,,,0,0,
26258,N. Petersen,Nils,Petersen,35,Germany,188 cm,84 kg,False,160,SC Freiburg,78,Bundesliga,2021,22,3,565,Attacker,6.738095,False,19,3,24,13,5,5,1,0,,133,7,,5,,2,109,36,5,5,,3,2,0,0,0,,,0,0,
115600,R. Kehr,Robin Luca,Kehr,23,Germany,189 cm,83 kg,False,178,SpVgg Greuther Fürth,78,Bundesliga,2021,0,0,0,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
