player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
404,B. Oczipka,Bastian,Oczipka,34,Germany,185 cm,85 kg,False,169,Eintracht Frankfurt,78,Bundesliga,2016,33,33,2952,Defender,6.878787,False,0,2,0,11,2,1,4,,,1149,40,74,,,85,359,177,87,37,,49,25,5,0,0,,,0,0,
410,D. Caligiuri,Daniel,Caligiuri,35,Germany,182 cm,80 kg,False,174,FC Schalke 04,78,Bundesliga,2016,16,14,1112,Midfielder,6.750000,False,2,9,2,18,3,2,3,,,300,21,71,,,15,185,80,43,20,,18,20,0,0,0,1,,0,0,
410,D. Caligiuri,Daniel,Caligiuri,35,Germany,182 cm,80 kg,False,161,VfL Wolfsburg,78,Bundesliga,2016,16,13,1110,Midfielder,6.750000,False,3,7,4,18,3,2,3,,,300,21,71,,,15,185,80,43,20,,18,20,2,0,0,1,,0,0,
2754,R. Kruse,Robbie Thomas,Kruse,35,Australia,179 cm,70 kg,False,168,Bayer Leverkusen,78,Bundesliga,2016,0,0,0,Attacker,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
24801,J. Hector,Jonas Armin,Hector,33,Germany,185 cm,75 kg,False,192,1. FC Köln,78,Bundesliga,2016,33,33,2970,Defender,7.166666,False,0,0,0,15,4,1,2,,,1159,37,79,,,81,423,260,52,33,,69,27,6,0,0,,,0,0,
25029,S. Schipplock,Sven,Schipplock,35,Germany,186 cm,84 kg,False,181,SV Darmstadt 98,78,Bundesliga,2016,23,12,1106,Attacker,6.680952,False,11,9,13,16,5,2,,,,142,10,51,,,11,204,95,11,6,,18,36,3,0,0,1,,0,0,
25029,S. Schipplock,Sven,Schipplock,35,Germany,186 cm,84 kg,False,175,Hamburger SV,78,Bundesliga,2016,0,0,0,Attacker,6.680952,False,0,0,0,16,5,0,,,,142,10,51,,,11,204,95,11,6,,18,36,0,0,0,1,,0,0,
25236,A. Ignjovski,Aleksandar,Ignjovski,32,Serbia,177 cm,71 kg,False,160,SC Freiburg,78,Bundesliga,2016,19,12,1050,Defender,6.500000,False,7,4,15,3,0,0,,,,286,3,62,,,30,152,73,22,8,,13,20,2,0,0,,1,0,0,
25262,Y. Regäsel,Yanni,Regäsel,27,Germany,176 cm,72 kg,False,169,Eintracht Frankfurt,78,Bundesliga,2016,0,0,0,Defender,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25298,A. Hahn,André,Hahn,33,Germany,185 cm,80 kg,False,163,Borussia Mönchengladbach,78,Bundesliga,2016,30,18,1599,Midfielder,6.655172,False,12,9,16,34,13,3,1,,,241,13,56,,,27,316,145,32,9,,37,44,3,0,0,,,0,1,
25333,R. Jarstein,Rune,Almenning Jarstein,39,Norway,192 cm,88 kg,False,159,Hertha BSC,78,Bundesliga,2016,34,34,3060,Goalkeeper,6.847058,False,0,0,0,0,0,0,,47,100,772,0,58,,,3,15,15,1,1,,4,0,1,0,0,,,0,0,1
25344,M. Plattenhardt,Marvin,Plattenhardt,31,Germany,181 cm,76 kg,False,159,Hertha BSC,78,Bundesliga,2016,27,27,2430,Defender,6.977777,False,0,0,0,24,11,3,3,,,769,36,72,,,53,194,108,29,12,,24,33,3,0,0,1,1,0,0,
25447,R. Wolf,Raphael,Wolf,35,Germany,190 cm,86 kg,False,162,Werder Bremen,78,Bundesliga,2016,0,0,0,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25640,T. Strobl,Tobias,Strobl,33,Germany,188 cm,77 kg,False,163,Borussia Mönchengladbach,78,Bundesliga,2016,23,18,1565,Midfielder,6.895652,False,5,4,9,9,1,0,2,,,832,9,86,,,46,172,88,7,5,,13,33,7,1,0,,,0,0,
26137,S. Lex,Stefan,Lex,34,Germany,178 cm,75 kg,False,184,FC Ingolstadt 04,78,Bundesliga,2016,13,2,324,Attacker,6.558333,False,11,2,24,9,2,0,,,,41,3,57,,,4,56,26,5,1,,9,6,3,0,0,,,0,0,
26246,M. Frantz,Mike,Frantz,37,Germany,182 cm,81 kg,False,160,SC Freiburg,78,Bundesliga,2016,30,29,2502,Midfielder,6.900000,False,1,8,2,23,5,0,1,,,717,26,71,,,46,310,179,26,13,,57,34,2,0,0,1,,0,0,
