player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
660,Pape Cheikh,Pape Cheikh,Diop Gueye,27,Senegal,180 cm,68 kg,False,797,Elche,140,La Liga,2022,2,0,35,Midfielder,6.300000,False,2,0,13,,,0,,0,,19,,,,,,7,,1,,,,3,1,0,1,,,0,0,
1560,Barragán,Antonio,Barragán Fernández,35,Spain,182 cm,76 kg,False,797,Elche,140,La Liga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Sergio Asenjo,Sergio,Asenjo Andrés,34,Spain,189 cm,87 kg,False,720,Valladolid,140,La Liga,2022,10,10,900,Goalkeeper,6.540000,False,0,0,20,,,0,,21,31,305,,,,,,4,4,,,,4,,0,0,0,,,0,0,1
2047,Aleix Vidal,Aleix,Vidal Parreu,34,Spain,177 cm,70 kg,False,540,Espanyol,140,La Liga,2022,25,10,1020,Defender,6.512000,False,15,9,21,3,2,0,3,0,,306,15,,11,2,15,100,36,16,5,,17,23,9,1,0,,,0,0,
46665,Iñigo Pérez,Iñigo,Pérez Soto,34,Spain,178 cm,74 kg,False,727,Osasuna,140,La Liga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46665,Iñigo Pérez,Iñigo,Pérez Soto,34,Spain,178 cm,74 kg,False,728,Rayo Vallecano,140,La Liga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46950,David Mayoral,David,Mayoral Lastras,25,Spain,172 cm,71 kg,False,724,Cadiz,140,La Liga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47095,Nano,Alexander,Mesa Travieso,27,Spain,178 cm,77 kg,False,724,Cadiz,140,La Liga,2022,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47272,Balenziaga,Mikel,Balenziaga Oruesagasti,36,Spain,177 cm,76 kg,False,531,Athletic Club,140,La Liga,2022,3,1,114,Defender,6.250000,False,2,1,29,,,0,,0,,54,,,4,,1,8,4,,,,,3,0,0,0,,,0,0,
47282,Raúl García,Raúl,García Escudero,38,Spain,184 cm,83 kg,False,531,Athletic Club,140,La Liga,2022,35,6,945,Midfielder,6.679411,False,29,5,32,32,14,2,3,0,,297,8,,12,1,6,148,75,10,5,,19,14,4,0,0,,,0,0,
47335,Dídac Vilá Rosselló,Dídac,Vilá Rosselló,33,Spain,185 cm,74 kg,False,540,Espanyol,140,La Liga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47342,Víctor Sánchez Mata,Víctor,Sánchez Mata,35,Spain,174 cm,72 kg,False,547,Girona,140,La Liga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47515,Borja García,Borja,García Freire,34,Spain,175 cm,72 kg,False,547,Girona,140,La Liga,2022,11,10,685,Midfielder,6.690909,False,1,8,7,7,3,1,,0,,263,5,,10,1,5,75,42,11,6,,20,4,1,0,0,,,0,0,
177587,M. Herzig,Marius,Herzig,24,Germany,188 cm,,False,536,Sevilla,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
181211,Genar Fornés,Genar,Fornés Casasús,25,Spain,,,False,724,Cadiz,140,La Liga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305797,Enrique Fernández,Enrique,Fernández López,22,Spain,177 cm,,False,543,Real Betis,140,La Liga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348539,Unai Hernández,Unai,Hernández Lorenzo,21,Spain,171,65,False,547,Girona,140,La Liga,2022,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348539,Unai Hernández,Unai,Hernández Lorenzo,21,Spain,171,65,False,529,Barcelona,140,La Liga,2022,0,0,0,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
363331,Juan Martín Ginzo,Juan Martín,Ginzo,23,Argentina,176,78,False,530,Atletico Madrid,140,La Liga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364416,Jesús,Jesús,López Soria,20,Spain,187 cm,"
    ",False,797,Elche,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,5,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,1
386859,Héctor Fort,Héctor,Fort García,19,Spain,185,78,False,529,Barcelona,140,La Liga,2022,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392455,Germán García,Germán,García Fernández,21,Spain,185,75,False,543,Real Betis,140,La Liga,2022,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Sergio León,Sergio,León Limones,35,Spain,178 cm,73 kg,False,720,Valladolid,140,La Liga,2022,29,14,1330,Attacker,6.634482,False,15,10,22,24,17,6,1,0,,191,12,,6,,,148,56,27,10,,22,8,0,0,1,,,1,1,
46772,José Mari,José María,Martín Bejarano-Serrano,37,Spain,180 cm,69 kg,False,724,Cadiz,140,La Liga,2022,18,2,385,Midfielder,6.616666,False,16,3,28,4,2,0,,0,,201,5,,16,1,5,59,30,5,2,,7,6,4,0,0,,,0,0,
46775,Salvi,Salvador,Sánchez Ponce,34,Spain,175 cm,64 kg,False,728,Rayo Vallecano,140,La Liga,2022,24,4,474,Midfielder,6.483333,False,20,4,30,7,3,0,,0,,153,7,,13,,2,64,29,8,2,,10,8,2,0,0,,,0,0,
46922,J. Narváez,Juan José,Narváez Solarte,30,Colombia,181 cm,79 kg,False,720,Valladolid,140,La Liga,2022,5,1,147,Attacker,6.360000,False,4,1,14,3,,0,,0,,34,,,1,,,27,14,2,1,,9,1,0,0,0,,,0,0,
47041,Alberto Perea,Alberto Álvaro,Perea Correoso,34,Spain,177 cm,74 kg,False,724,Cadiz,140,La Liga,2022,1,1,46,Attacker,6.700000,False,0,1,0,,,0,,0,,11,,,2,,,12,6,5,2,,2,,0,0,0,,,0,0,
47274,Capa,Ander,Capa Rodríguez,33,Spain,175 cm,75 kg,False,531,Athletic Club,140,La Liga,2022,7,1,103,Defender,6.516666,False,6,1,33,,,0,,0,,64,1,,1,,,18,7,3,2,,,4,1,0,0,,,0,0,
47310,Illarramendi,Asier,Illarramendi Andonegi,35,Spain,179 cm,75 kg,False,548,Real Sociedad,140,La Liga,2022,24,13,1076,Midfielder,6.739130,False,11,11,24,8,3,1,,0,,625,10,,36,8,18,149,72,7,7,,13,25,5,0,0,,,0,0,
47474,Jordi Masip,Jordi,Masip López,35,Spain,180 cm,76 kg,False,720,Valladolid,140,La Liga,2022,28,28,2508,Goalkeeper,7.025000,False,0,1,6,,,0,,42,105,840,,,,,1,17,12,,,,5,,4,0,0,,,0,0,2
107207,Mario Hernández,Mario,Hernández Fernández,25,Spain,177 cm,,False,728,Rayo Vallecano,140,La Liga,2022,3,1,102,Defender,6.100000,False,2,1,36,1,,0,,0,,31,,,3,,2,13,4,1,,,1,1,1,0,0,,,0,0,
144261,Carlos García-Die,Carlos,García-Die Sánchez,25,Spain,188 cm,75 kg,False,724,Cadiz,140,La Liga,2022,1,0,24,Defender,7.000000,False,1,0,9,,,0,1,0,,24,1,,,,,2,2,1,1,,,,0,0,0,,,0,0,
162530,Sergio Santos,Sergio,Santos Fernández,24,Spain,180 cm,73 kg,False,541,Real Madrid,140,La Liga,2022,0,0,0,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
195918,Diego Moreno,Diego,Moreno Garbayo,24,Spain,177 cm,,False,727,Osasuna,140,La Liga,2022,11,7,636,Defender,6.510000,False,4,3,11,4,1,0,,0,,228,3,,4,4,5,43,16,11,3,,4,3,1,0,0,,,0,0,
286643,Koffi,Emmanuel,Amankwaa Akurugu,24,Ghana,174 cm,,False,546,Getafe,140,La Liga,2022,0,0,0,Defender,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
286798,Fran López,Francisco,López Fernández,23,Spain,,,False,538,Celta Vigo,140,La Liga,2022,0,0,0,Attacker,,False,0,0,5,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
287177,Adrián Corral,Adrián,Corral Alciturri,22,Spain,183 cm,76 kg,False,530,Atletico Madrid,140,La Liga,2022,0,0,0,Defender,,False,0,0,2,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
317418,M. Fall,Mamadou Ibra,Mbacke Fall,23,Senegal,188 cm,74 kg,False,533,Villarreal,140,La Liga,2022,1,0,29,Defender,6.300000,False,1,0,1,,,0,,0,,10,,,,,,2,,1,,,,1,0,0,0,,,0,0,
331003,Roberto Arroyo,Roberto,Arroyo Gregorio,22,Spain,181 cm,68 kg,False,720,Valladolid,140,La Liga,2022,1,0,14,Attacker,6.200000,False,1,0,4,,,0,,0,,4,,,1,,,4,2,1,1,,,,0,0,0,,,0,0,
336557,Aleix Garrido,Aleix,Garrido Cañizares,21,Spain,170 cm,63 kg,False,529,Barcelona,140,La Liga,2022,1,0,6,Midfielder,6.700000,False,1,0,3,,,0,,0,,2,,,2,,,3,2,1,,,,,0,0,0,,,0,0,
348329,Pablo Ramírez,Pablo,Ramírez Moreno,22,Spain,,,False,546,Getafe,140,La Liga,2022,0,0,0,Defender,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
400020,Luismi Quirant,Luis Miguel,Quirant Reche,20,Spain,,,False,797,Elche,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
46666,Roberto Torres,Roberto,Torres Morales,36,Spain,178 cm,72 kg,False,727,Osasuna,140,La Liga,2022,2,0,9,Midfielder,6.700000,False,2,0,15,,,0,,0,,11,2,,,,,3,1,2,1,,,,0,0,0,,,0,0,
46700,Darío,Darío,Ramos Pinazo,26,Spain,191 cm,78 kg,False,727,Osasuna,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
162449,Charlie Pérez,Carlos Manuel,Pérez Sánchez,23,Spain,,,False,532,Valencia,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,2,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
162605,Javi Domínguez,Javier,Domínguez Arribas,24,Spain,195 cm,83 kg,False,538,Celta Vigo,140,La Liga,2022,0,0,0,Defender,,False,0,0,4,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
163447,José Lara,José,Alonso Lara,25,Spain,161 cm,60 kg,False,543,Real Betis,140,La Liga,2022,0,0,0,Midfielder,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
182664,Gaizka Ayesa,Gaizka,Ayesa Burgui,24,Spain,182 cm,79 kg,False,548,Real Sociedad,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
182713,Diego Fuoli,Diego Licinio,Lázaro Fuoli,28,Spain,188 cm,79 kg,False,723,Almeria,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,15,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
192024,L. Spatz,Lautaro Marco,Spatz,24,Argentina,185 cm,75 kg,False,724,Cadiz,140,La Liga,2022,0,0,0,Defender,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
208670,Diego Bri,Diego Vicente,Bri Carrazoni,23,Spain,177 cm,67 kg,False,530,Atletico Madrid,140,La Liga,2022,0,0,0,Attacker,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
286620,Joan Puig,Joan,Puig Mateos,23,Spain,,,False,540,Espanyol,140,La Liga,2022,0,0,0,Defender,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
289788,Yoel Ramírez,Yoel,Ramírez Sesma,23,Spain,184 cm,73 kg,False,727,Osasuna,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,5,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
313026,Luis Bilbao,Luis,Bilbao Arechaga,22,Spain,,,False,531,Athletic Club,140,La Liga,2022,0,0,0,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
327552,Nando,Hernando,Almodóvar Marrufo,22,Spain,192 cm,,False,724,Cadiz,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
334575,Diego Piñeiro,Diego,Piñeiro del Álamo,21,Spain,185 cm,69 kg,False,541,Real Madrid,140,La Liga,2022,0,0,0,Goalkeeper,,False,0,0,1,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0
336681,Sergio Díez,Sergio,Díez Roldán,22,Spain,178 cm,75 kg,False,530,Atletico Madrid,140,La Liga,2022,0,0,0,Defender,,False,0,0,10,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,0,0,
