player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
83,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,28,Netherlands,178,74,False,533,Villarreal,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,E. Cavani,Edinson Roberto,Cavani Gómez,38,Uruguay,185,71,False,532,Valencia,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,David Silva,David Josué,Jiménez Silva,37,Spain,170 cm,67 kg,False,548,Real Sociedad,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Loren Morón,Lorenzo Jesús,Morón García,32,Spain,188,66,False,543,Real Betis,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Iborra,Vicente,Iborra de la Fuente,37,Spain,190 cm,80 kg,False,533,Villarreal,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Iván Martín,Iván,Martín Núñez,26,Spain,178,70,False,533,Villarreal,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Iván Martín,Iván,Martín Núñez,26,Spain,178,70,False,547,Girona,140,La Liga,2023,36,33,2747,Midfielder,6.958333,False,3,21,4,15,11,5,4,0,,1605,29,42,45,3,22,273,126,59,39,,34,27,5,0,0,,,0,0,
18742,M. Doherty,Matthew James,Doherty,33,Republic of Ireland,185,80,False,530,Atletico Madrid,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18949,Oriol Romeu,Oriol,Romeu Vidal,34,Spain,183,83,False,547,Girona,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18949,Oriol Romeu,Oriol,Romeu Vidal,34,Spain,183,83,False,529,Barcelona,140,La Liga,2023,28,11,929,Midfielder,6.807692,False,17,10,26,6,2,0,1,0,,798,8,,35,2,11,118,63,5,4,,11,15,4,0,0,,,0,0,
32871,T. Hara,Taichi,Hara,26,Japan,191,84,False,542,Alaves,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46910,Iván Martos,Iván,Martos Campillo,28,Spain,182 cm,68 kg,False,723,Almeria,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47080,Jorge Sáenz,Jorge,Sáenz de Miera Colmeiro,29,Spain,188 cm,81 kg,False,532,Valencia,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170541,Miquel Llabrés,Miquel,Llabrés Alemany,25,Spain,,,False,798,Mallorca,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182496,Joel del Pino,Joel,del Pino Lorenzo Gil,28,Spain,,,False,534,Las Palmas,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182515,Claudio,Claudio,Mendes Vicente,25,Spain,186,80,False,534,Las Palmas,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182588,Juan Artola,Juan,Artola Canales,25,Spain,176 cm,72 kg,False,531,Athletic Club,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182627,Alex Petxarroman,Alex,Petxarroman Eizaguirre,28,Spain,179 cm,67 kg,False,531,Athletic Club,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276995,F. Mwepu,Francisco,Mwepu,25,Zambia,178 cm,70 kg,False,724,Cadiz,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289788,Yoel Ramírez,Yoel,Ramírez Sesma,23,Spain,184 cm,73 kg,False,727,Osasuna,140,La Liga,2023,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347886,Félix Garreta,Félix,Martí Garreta,21,Spain,,,False,543,Real Betis,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371912,Dani Rodríguez,Daniel,Rodríguez Crespo,20,Spain,,,False,529,Barcelona,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Rony Lopes,Marcos Paulo,Mesquita Lopes,30,Portugal,174,68,False,536,Sevilla,140,La Liga,2023,,,,Forward,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Álex Collado,Álex,Collado Gutiérrez,26,Spain,178,67,False,529,Barcelona,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Álex Collado,Álex,Collado Gutiérrez,26,Spain,178,67,False,543,Real Betis,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Sergio Canales,Sergio,Canales Madrazo,34,Spain,176,65,False,543,Real Betis,140,La Liga,2023,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,S. Chukwueze,Samuel Chimerenka,Chukwueze,26,Nigeria,172,70,False,533,Villarreal,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18895,F. Lejeune,Florian Grégoire,Claude Lejeune,34,France,189,89,False,542,Alaves,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18895,F. Lejeune,Florian Grégoire,Claude Lejeune,34,France,189,89,False,728,Rayo Vallecano,140,La Liga,2023,37,37,3328,Defender,7.054054,False,0,1,0,53,21,3,1,0,,2004,9,44,39,18,22,225,135,4,4,,13,26,5,0,0,,,0,0,
25345,K. Rekik,Karim,Rekik,31,Netherlands,186 cm,84 kg,False,536,Sevilla,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46835,J. Harper,Jack,Harper,29,Scotland,187 cm,78 kg,False,546,Getafe,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47265,Jorge Molina,Jorge,Molina Vidal,41,Spain,188 cm,72 kg,False,715,Granada CF,140,La Liga,2023,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47351,Álex Domínguez,Alejandro,Domínguez Romero,27,Spain,187,80,False,534,Las Palmas,140,La Liga,2023,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47426,Rubén Blanco,Rubén,Blanco Veiga,30,Spain,188,70,False,538,Celta Vigo,140,La Liga,2023,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64268,J. Mojica,Johan Andrés,Mojica Palacio,33,Colombia,185,66,False,533,Villarreal,140,La Liga,2023,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
