league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2021,Arsenal,Granit Xhaka,1,2020,83,204,D M S,31,2537,1,0.7788539975881577,1,0.7788539975881577,2,1.4596665930002928,21,17,7,1,13.89865631237626,12.85003492794931
ENG-Premier League,2021,Arsenal,Héctor Bellerín,1,2020,83,492,D S,25,2098,1,0.8602303061634302,1,0.8602303061634302,2,2.1715131886303425,15,21,8,0,8.0598920956254,6.266995308920741
ENG-Premier League,2021,Arsenal,Joe Willock,1,2020,83,6630,M S,21,1215,8,5.088086500763893,8,4.326921537518501,0,0.733700979501009,23,10,1,0,7.007068745791912,2.9877239307388663
ENG-Premier League,2021,Arsenal,Kieran Tierney,1,2020,83,8089,D S,27,2305,1,0.3866765992715955,1,0.3866765992715955,3,3.8238940481096506,15,31,4,0,8.635928499512374,5.60839013569057
ENG-Premier League,2021,Arsenal,Martin Odegaard,1,2020,83,2517,M S,14,865,1,0.618740500882268,1,0.618740500882268,2,1.9558854773640633,15,19,0,0,5.297232031822205,4.07069668546319
ENG-Premier League,2021,Arsenal,Mat Ryan,1,2020,83,2385,GK,14,1260,0,0.0,0,0.0,0,0.06032729893922806,0,1,1,0,1.6561840623617172,1.6561840623617172
ENG-Premier League,2021,Arsenal,Mohamed Elneny,1,2020,83,496,M S,23,1540,1,0.4756157035008073,1,0.4756157035008073,0,0.2569415085017681,9,4,3,0,5.195760786533356,4.651168327778578
ENG-Premier League,2021,Arsenal,Nicolas Pepe,1,2020,83,5656,F M S,29,1602,10,6.000205853953958,9,5.23903716634959,1,1.0121595980599523,47,11,1,1,9.359735170379281,4.2177279610186815
ENG-Premier League,2021,Arsenal,Pablo Marí,1,2020,83,8380,D,10,900,0,0.04052269924432039,0,0.04052269924432039,0,0.05424389988183975,2,1,2,0,3.6049748361110687,3.590737834572792
ENG-Premier League,2021,Arsenal,Pierre-Emerick Aubameyang,1,2020,83,318,F M S,29,2333,10,10.450049884617329,8,8.92772065103054,3,2.4313496705144644,57,22,2,0,15.113904694095254,3.955130212008953
ENG-Premier League,2021,Arsenal,Reiss Nelson,1,2020,83,6492,S,2,59,0,0.05691710114479065,0,0.05691710114479065,0,0.0,1,0,0,0,0.3480401039123535,0.29112300276756287
ENG-Premier League,2021,Arsenal,Rob Holding,1,2020,83,1749,D S,30,2548,0,0.7339214868843555,0,0.7339214868843555,1,0.20068280026316643,14,4,2,0,7.403348095715046,7.163188092410564
ENG-Premier League,2021,Arsenal,Rúnar Alex Rúnarsson,1,2020,83,6875,S,1,11,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2021,Arsenal,Sead Kolasinac,1,2020,83,342,D,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.42935800552368164,0.42935800552368164
ENG-Premier League,2021,Arsenal,Shkodran Mustafi,1,2020,83,1699,S,3,43,0,0.0,0,0.0,0,0.0,0,0,0,0,0.06472480297088623,0.06472480297088623
ENG-Premier League,2021,Arsenal,Thomas Partey,1,2020,83,2328,M S,24,1543,0,1.157276201993227,0,1.157276201993227,2,1.1210453063249588,26,12,5,0,7.274703920818865,5.83660644851625
ENG-Premier League,2021,Arsenal,Willian,1,2020,83,700,F M S,25,1413,1,1.8349484112113714,1,1.8349484112113714,5,3.591709390282631,20,32,0,0,7.110169928520918,3.815574500709772
ENG-Premier League,2021,Aston Villa,Ahmed Elmohamady,1,2020,71,1685,D S,14,823,0,0.34127279929816723,0,0.34127279929816723,0,0.9894655756652355,9,13,2,0,2.426967915147543,1.610212106257677
ENG-Premier League,2021,Aston Villa,Anwar El Ghazi,1,2020,71,5612,F M S,28,1612,10,9.037513121031225,6,5.9928371934220195,0,1.882866207510233,64,26,2,0,7.845566677860916,2.691346569918096
