player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
2707,O. El Hajjam,Oualid,El Hajjam,34,Morocco,181,72,False,111,Le Havre,61,Ligue 1,2025,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6231,F. Medina,Facundo Axel,Medina,26,Argentina,184,78,False,116,Lens,61,Ligue 1,2025,1,1,61,Defender,7.200000,False,0,,,,,,0,0,,75,,72,1,,,4,1,,,,,3,0,,0,,,0,0,
6231,F. Medina,Facundo Axel,Medina,26,Argentina,184,78,False,81,Marseille,61,Ligue 1,2025,13,12,1016,Defender,6.72,False,1,3,4,4,1,0,1,0,,791,4,91,14,5,12,64,34,5,4,,8,18,5,0,0,,,0,0,
24245,G. Kalulu,Gédéon,Kalulu Kyatengwa,28,Congo DR,178,78,False,97,Lorient,61,Ligue 1,2025,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40384,R. Majecki,Radosław,Majecki,26,Poland,193,78,False,91,Monaco,61,Ligue 1,2025,3,3,235,Goalkeeper,6.300000,False,0,,,,,,0,5,7,68,,,,,,4,2,,,,,1,0,,1,,,0,0,0
40384,R. Majecki,Radosław,Majecki,26,Poland,193,78,False,106,Stade Brestois 29,61,Ligue 1,2025,10,10,865,Goalkeeper,6.68,False,0,0,13,,,0,0,15,26,298,,67,,,,5,3,,,,1,1,0,0,1,,1,0,0,0
64190,Y. Fofana,Yahia,Fofana,25,France,194,89,False,77,Angers,61,Ligue 1,2025,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162473,Arnau Tenas,Arnau,Tenas Ureña,24,Spain,185,85,False,85,Paris Saint Germain,61,Ligue 1,2025,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326073,R. Labeau Lascary,Rémy,Labeau Lascary,22,France,184,72,False,116,Lens,61,Ligue 1,2025,2,0,41,Attacker,7.000000,False,2,,,1,1,1,0,0,,10,1,,,,,15,5,2,1,,2,5,1,,0,,,0,0,
326073,R. Labeau Lascary,Rémy,Labeau Lascary,22,France,184,72,False,106,Stade Brestois 29,61,Ligue 1,2025,23,11,1060,Attacker,6.71,False,12,8,12,23,14,5,1,0,,205,11,79,14,2,6,159,55,46,17,,15,25,2,0,0,,,0,0,
