player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
20936,Benjamin Leroy,98,Ajaccio,61,2022,G,35,32,32,0,2799,6.483,0,0,0,0,60,0,75,792,0,0,0,1,8,6,0,0,2,4,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.032,0.0
21761,Oumar Gonzalez,98,Ajaccio,61,2022,D,32,30,29,1,2580,6.59,3,10,3,0,0,0,0,1096,1,51,11,52,281,163,10,5,14,44,45,10,0,0,3,0,0,0,0.0,0.0,0.349,0.105,0.035,1.779,5.686,0.349,0.0
20961,Mounaim El Idrissy,98,Ajaccio,61,2022,F,33,32,30,2,2508,6.844,23,42,19,6,0,0,0,594,13,32,0,13,574,233,23,11,25,80,81,10,0,2,0,0,0,0,0.215,0.0,1.507,0.682,0.467,1.148,8.361,0.359,0.0
20925,Vincent Marchetti,98,Ajaccio,61,2022,M,31,31,29,2,2460,6.684,1,21,9,0,0,2,0,1039,15,55,3,19,288,141,72,45,41,36,29,7,0,1,0,0,0,0,0.0,0.073,0.768,0.329,0.549,2.012,5.159,0.256,0.0
20960,Mohamed Youssouf,98,Ajaccio,61,2022,D,34,30,27,3,2458,6.635,0,5,1,0,0,0,0,918,15,72,8,65,298,165,27,9,23,37,40,5,1,0,0,0,0,0,0.0,0.0,0.183,0.037,0.549,2.636,6.041,0.183,0.037
20941,Ismaël Diallo,98,Ajaccio,61,2022,D,29,28,25,3,2182,6.559,1,1,0,0,0,0,0,858,9,46,12,30,233,119,28,14,28,33,41,9,1,0,2,0,0,0,0.0,0.0,0.041,0.0,0.371,1.897,4.908,0.371,0.041
21005,Cyrille Bayala,98,Ajaccio,61,2022,M,34,33,25,8,2021,6.595,7,18,6,1,0,1,0,572,19,53,3,25,328,146,62,24,23,28,29,3,1,0,0,0,0,0,0.045,0.045,0.802,0.267,0.846,2.36,6.502,0.134,0.045
20951,Mathieu Coutadeur,98,Ajaccio,61,2022,M,30,27,22,5,1951,6.778,0,3,0,0,0,0,0,1185,10,23,3,19,101,50,11,5,19,13,6,2,0,0,0,0,0,0,0.0,0.0,0.138,0.0,0.461,1.061,2.307,0.092,0.0
21575,Clement Vidal,98,Ajaccio,61,2022,D,34,26,21,5,1909,6.651,1,8,2,1,0,0,0,767,1,25,16,27,167,94,1,1,20,18,22,5,1,0,1,0,0,0,0.047,0.0,0.377,0.094,0.047,1.179,4.432,0.236,0.047
20939,Cedric Avinel,98,Ajaccio,61,2022,D,35,24,19,5,1804,6.499,0,3,1,1,0,0,0,714,0,13,13,15,83,53,0,0,3,2,12,2,1,0,2,0,0,0,0.05,0.0,0.15,0.05,0.0,0.649,2.644,0.1,0.05
