player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
64256,Andy Pelmard,99,Clermont Foot,61,2023,D,34,34,33,1,2988,6.727,0,1,1,0,0,0,0,1611,6,52,20,35,141,103,9,7,8,19,13,1,0,0,2,0,0,0,0.0,0.0,0.03,0.03,0.181,1.566,3.102,0.03,0.0
119853,Mory Diaw,99,Clermont Foot,61,2023,G,30,30,30,0,2700,7.35,0,0,0,0,54,0,135,1111,2,1,0,1,21,18,4,3,1,3,0,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.067,0.033,0.6,0.1,0.0
146008,Muhammed Cham-Saračević,99,Clermont Foot,61,2023,F,33,33,29,4,2563,7.251,3,53,30,8,0,4,0,1190,49,25,2,8,249,122,62,34,15,56,22,4,0,0,0,4,1,0,0.281,0.14,1.861,1.053,1.721,0.878,4.284,0.14,0.0
1927,Neto Borges,99,Clermont Foot,61,2023,M,28,28,28,0,2519,6.936,8,10,2,0,0,1,0,1149,25,47,6,57,268,136,49,28,35,24,21,3,1,2,0,0,0,0,0.0,0.036,0.357,0.071,0.893,1.679,4.859,0.107,0.036
20776,Johan Gastien,99,Clermont Foot,61,2023,M,28,28,28,0,2273,6.946,1,9,5,0,0,0,0,1653,32,43,9,36,224,97,22,8,58,29,31,7,0,0,0,0,0,0,0.0,0.0,0.356,0.198,1.267,1.703,3.841,0.277,0.0
21618,Jim Allevinah,99,Clermont Foot,61,2023,F,30,29,22,7,1869,6.868,1,24,11,2,0,1,0,636,20,31,3,13,224,101,63,28,22,26,15,1,0,0,0,0,0,0,0.096,0.048,1.156,0.53,0.963,1.493,4.864,0.048,0.0
20778,Yohann Magnin,99,Clermont Foot,61,2023,M,33,31,17,14,1690,6.828,1,12,6,1,0,0,0,811,9,49,13,19,216,106,10,3,25,23,38,2,0,0,0,0,0,0,0.053,0.0,0.639,0.32,0.479,2.609,5.645,0.107,0.0
8718,Maximiliano Caufriez,99,Clermont Foot,61,2023,D,22,20,20,0,1666,6.731,0,3,1,0,0,1,0,869,9,38,12,18,161,82,11,7,10,18,38,6,2,0,1,0,0,0,0.0,0.054,0.162,0.054,0.486,2.053,4.43,0.324,0.108
105873,Shamar Nicholson,99,Clermont Foot,61,2023,F,28,26,17,9,1507,6.959,14,30,20,4,0,3,0,379,18,6,2,0,204,87,25,8,3,26,20,2,0,2,0,1,1,0,0.239,0.179,1.792,1.194,1.075,0.358,5.196,0.119,0.0
2051,Maxime Gonalons,99,Clermont Foot,61,2023,M,22,21,17,4,1314,6.85,0,11,3,1,0,0,0,769,7,47,3,20,175,86,15,8,32,15,28,4,0,0,0,0,0,0,0.068,0.0,0.753,0.205,0.479,3.219,5.89,0.274,0.0
286660,Habib Keita,99,Clermont Foot,61,2023,M,34,27,12,15,1279,7.092,0,14,5,1,0,0,0,669,10,34,10,28,160,91,24,14,11,36,23,4,0,0,0,0,0,0,0.07,0.0,0.985,0.352,0.704,2.392,6.403,0.281,0.0
2203,Mehdi Zeffane,99,Clermont Foot,61,2023,D,33,23,15,8,1255,6.693,2,14,1,0,0,0,0,547,9,31,3,16,102,47,11,2,17,7,13,2,0,1,0,0,0,0,0.0,0.0,1.004,0.072,0.645,2.223,3.371,0.143,0.0
163039,Chrislain Matsima,99,Clermont Foot,61,2023,D,14,14,13,1,1179,6.653,1,4,2,1,0,0,0,651,0,18,10,13,90,53,3,2,8,10,12,2,0,0,3,0,0,0,0.076,0.0,0.305,0.153,0.0,1.374,4.046,0.153,0.0
39095,Elbasan Rashani,99,Clermont Foot,61,2023,M,24,24,14,10,1176,6.906,3,10,5,2,0,0,0,363,12,31,3,12,204,100,43,17,13,29,27,4,2,1,0,0,0,0,0.153,0.0,0.765,0.383,0.918,2.372,7.653,0.306,0.153
196187,Alidu Seidu,99,Clermont Foot,61,2023,D,14,14,13,1,1141,7.006,0,5,1,0,0,1,0,696,5,32,7,25,140,87,23,11,7,29,20,5,1,0,1,0,0,0,0.0,0.079,0.394,0.079,0.394,2.524,6.862,0.394,0.079
406591,Cheick Konate,99,Clermont Foot,61,2023,D,21,19,12,7,1073,6.909,0,9,4,1,0,1,0,381,16,26,2,13,144,69,42,22,16,14,17,4,0,0,1,0,0,0,0.084,0.084,0.755,0.336,1.342,2.181,5.788,0.336,0.0
20677,Grejohn Kyei,99,Clermont Foot,61,2023,F,31,26,10,16,1037,6.723,8,23,8,2,0,1,0,260,12,6,1,1,153,55,31,10,1,11,29,1,0,0,0,1,0,0,0.174,0.087,1.996,0.694,1.041,0.521,4.773,0.087,0.0
21589,Bilal Boutobba,99,Clermont Foot,61,2023,M,33,27,10,17,962,6.924,2,15,9,1,0,1,0,333,12,22,0,8,145,75,41,16,13,26,7,1,0,0,0,0,0,0,0.094,0.094,1.403,0.842,1.123,2.058,7.017,0.094,0.0
271572,Alan Virginius,99,Clermont Foot,61,2023,F,14,14,12,2,944,6.771,4,9,6,0,0,2,0,185,11,9,0,3,76,29,20,10,7,6,4,0,0,1,0,0,0,0,0.0,0.191,0.858,0.572,1.049,0.858,2.765,0.0,0.0
20768,Florent Ogier,99,Clermont Foot,61,2023,D,31,14,9,5,941,7.034,0,4,2,1,0,1,0,512,1,19,19,9,84,49,1,1,7,6,11,1,0,0,1,0,0,0,0.096,0.096,0.383,0.191,0.096,1.817,4.687,0.096,0.0
328447,Massamba Ndiaye,99,Clermont Foot,61,2023,G,34,4,4,0,360,7.725,0,0,0,0,6,0,18,144,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
367636,Jérémy Jacquet,99,Clermont Foot,61,2023,D,13,6,2,4,249,6.635,1,1,0,0,0,1,0,97,2,3,3,4,21,13,2,1,0,3,1,0,0,0,0,0,0,0,0.0,0.361,0.361,0.0,0.723,1.084,4.699,0.0,0.0
21630,Yoël Armougom,99,Clermont Foot,61,2023,D,24,5,2,3,239,6.662,0,1,0,0,0,0,0,101,5,3,0,1,15,9,2,1,1,3,1,1,0,0,0,0,0,0,0.0,0.0,0.377,0.0,1.883,1.13,3.389,0.377,0.0
46710,Jérémie Bela,99,Clermont Foot,61,2023,F,21,12,1,11,201,6.56,0,5,2,0,0,0,0,84,3,1,0,0,21,10,7,4,2,4,0,0,0,0,0,0,0,0,0.0,0.0,2.239,0.896,1.343,0.448,4.478,0.0,0.0
40392,Mateusz Wieteska,99,Clermont Foot,61,2023,D,2,2,2,0,175,7.009,1,3,2,1,0,0,0,114,0,4,2,5,15,10,1,0,2,2,0,0,0,0,0,0,0,0,0.514,0.0,1.543,1.029,0.0,2.057,5.143,0.0,0.0
1325,Komnen Andrić,99,Clermont Foot,61,2023,F,13,7,1,6,164,6.588,1,3,0,0,0,0,0,59,4,2,0,0,32,9,5,2,4,2,2,0,0,0,0,0,0,0,0.0,0.0,1.646,0.0,2.195,1.098,4.939,0.0,0.0
446824,Ilhan Fakili,99,Clermont Foot,61,2023,F,3,3,1,2,99,6.251,0,3,2,0,0,0,0,22,1,0,0,1,14,2,6,1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,2.727,1.818,0.909,0.0,1.818,0.0,0.0
334799,Aïman Maurer,99,Clermont Foot,61,2023,F,10,5,0,5,60,6.562,0,3,1,0,0,0,0,24,0,1,0,0,10,3,3,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5,1.5,0.0,1.5,4.5,0.0,0.0
390440,Mohamed-Amine Bouchenna,99,Clermont Foot,61,2023,F,3,2,0,2,27,6.611,0,1,0,0,0,0,0,8,1,1,0,0,7,3,5,2,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.333,0.0,3.333,3.333,10.0,3.333,0.0
461421,Ivan M'Bahia,99,Clermont Foot,61,2023,D,3,1,0,1,13,6.2,0,0,0,0,0,0,0,14,1,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.923,0.0,6.923,6.923,0.0
412784,Abdellah Baallal,99,Clermont Foot,61,2023,F,4,1,0,1,11,6.7,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.182,0.0,0.0
383563,Mohamed Sylla,99,Clermont Foot,61,2023,D,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
336857,Stan Berkani,99,Clermont Foot,61,2023,M,7,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
327560,Theo Borne,99,Clermont Foot,61,2023,G,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24011,Arthur Desmas,111,LE Havre,61,2023,G,33,33,33,0,2970,7.103,0,0,0,0,43,0,112,806,1,0,0,0,18,16,0,0,2,9,0,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.03,0.0,0.485,0.061,0.0
64255,Gautier Lloris,111,LE Havre,61,2023,D,33,31,31,0,2779,6.999,1,11,5,2,0,0,0,1384,3,50,30,32,224,135,9,4,14,6,35,2,0,0,2,0,0,0,0.065,0.0,0.356,0.162,0.097,1.619,4.372,0.065,0.0
174927,Arouna Sangante,111,LE Havre,61,2023,D,31,30,30,0,2690,7.026,0,13,3,0,0,0,0,1364,17,53,18,66,281,150,15,11,16,37,54,8,0,0,1,0,0,0,0.0,0.0,0.435,0.1,0.569,1.773,5.019,0.268,0.0
20836,Christopher Operi,111,LE Havre,61,2023,D,28,28,28,0,2447,7.173,0,18,9,3,0,4,0,1149,46,55,7,35,236,134,50,29,27,18,20,6,0,1,1,0,0,0,0.11,0.147,0.662,0.331,1.692,2.023,4.928,0.221,0.0
21103,Abdoulaye Touré,111,LE Havre,61,2023,M,30,30,27,3,2308,6.956,0,23,10,2,0,0,0,1225,13,47,8,25,286,150,41,29,30,32,27,4,0,0,0,2,0,0,0.078,0.0,0.897,0.39,0.507,1.833,5.849,0.156,0.0
1212,Daler Kuzyaev,111,LE Havre,61,2023,M,30,30,24,6,2108,6.962,4,14,5,2,0,2,0,1018,29,34,5,22,197,98,20,12,27,26,30,1,0,0,0,0,0,0,0.085,0.085,0.598,0.213,1.238,1.452,4.184,0.043,0.0
174915,Josué Casimir,111,LE Havre,61,2023,M,30,30,25,5,2031,6.857,7,12,4,0,0,5,0,637,31,31,2,13,226,103,60,23,11,28,25,6,0,1,0,0,0,0,0.0,0.222,0.532,0.177,1.374,1.374,4.564,0.266,0.0
162443,Étienne Youte Kinkoue,111,LE Havre,61,2023,D,34,22,22,0,1943,6.892,2,2,0,0,0,0,0,960,3,15,16,44,80,51,2,1,4,5,11,1,0,0,0,0,0,0,0.0,0.0,0.093,0.0,0.139,0.695,2.362,0.046,0.0
174937,Yassine Kechta,111,LE Havre,61,2023,M,33,32,21,11,1864,6.874,0,15,9,2,0,1,0,933,27,46,3,23,240,96,32,10,42,31,30,4,0,0,0,0,0,0,0.097,0.048,0.724,0.435,1.304,2.221,4.635,0.193,0.0
15783,Emmanuel Sabbi,111,LE Havre,61,2023,F,32,30,18,12,1593,6.929,2,24,13,5,0,1,0,340,10,38,2,19,247,107,57,20,23,37,26,5,0,2,0,2,0,0,0.282,0.056,1.356,0.734,0.565,2.147,6.045,0.282,0.0
2336,Loic Négo,111,LE Havre,61,2023,D,31,28,18,10,1579,6.84,3,14,4,0,0,3,0,512,13,37,2,16,143,75,31,13,12,17,22,3,0,2,0,0,0,0,0.0,0.171,0.798,0.228,0.741,2.109,4.275,0.171,0.0
20576,Yoann Salmier,111,LE Havre,61,2023,D,32,20,18,2,1575,6.918,3,8,5,1,0,1,0,697,6,22,15,21,116,65,8,5,8,9,18,3,0,0,0,0,0,0,0.057,0.057,0.457,0.286,0.343,1.257,3.714,0.171,0.0
24288,Mohamed Bayo,111,LE Havre,61,2023,F,23,22,16,6,1407,6.893,7,34,18,5,0,1,0,303,13,14,1,2,189,80,38,17,8,13,14,4,0,0,0,2,0,0,0.32,0.064,2.175,1.151,0.832,0.896,5.117,0.256,0.0
1370,André Ayew,111,LE Havre,61,2023,F,19,19,12,7,1109,7.049,4,24,13,5,0,0,0,258,8,15,3,2,210,101,26,16,3,26,15,2,1,0,0,0,0,0,0.406,0.0,1.948,1.055,0.649,1.217,8.197,0.162,0.081
284071,Oussama Targhalline,111,LE Havre,61,2023,M,15,14,12,2,1032,6.836,0,5,0,0,0,0,0,690,8,23,3,20,107,59,14,7,10,21,13,4,1,0,0,0,0,0,0.0,0.0,0.436,0.0,0.698,2.006,5.145,0.349,0.087
8681,Nabil Alioui,111,LE Havre,61,2023,F,19,18,12,6,1024,7.111,5,18,9,4,0,1,0,300,24,3,1,3,108,48,36,15,2,20,10,1,0,0,0,0,0,0,0.352,0.088,1.582,0.791,2.109,0.264,4.219,0.088,0.0
289304,Antoine Joujou,111,LE Havre,61,2023,F,26,23,6,17,766,6.684,0,12,3,0,0,2,0,240,9,20,2,7,163,59,50,19,10,10,17,1,0,0,0,0,0,0,0.0,0.235,1.41,0.352,1.057,2.35,6.932,0.117,0.0
22266,Samuel Grandsir,111,LE Havre,61,2023,F,31,23,4,19,617,6.468,5,11,6,1,0,1,0,242,14,16,0,3,89,29,23,7,10,5,18,4,2,0,0,0,1,0,0.146,0.146,1.605,0.875,2.042,2.334,4.23,0.583,0.292
128342,Rassoul Ndiaye,111,LE Havre,61,2023,M,25,19,6,13,543,6.374,1,4,1,0,0,0,0,254,2,24,1,4,84,41,14,8,12,4,11,4,2,0,0,0,0,0,0.0,0.0,0.663,0.166,0.331,3.978,6.796,0.663,0.331
2707,Oualid El Hajjam,111,LE Havre,61,2023,D,30,13,4,9,416,6.707,1,8,3,0,0,0,0,195,7,8,1,6,45,19,5,4,7,4,13,1,0,1,0,0,0,0,0.0,0.0,1.731,0.649,1.514,1.731,4.111,0.216,0.0
339633,Andy Logbo,111,LE Havre,61,2023,F,12,10,2,8,258,6.619,1,2,0,0,0,0,0,39,3,0,3,0,40,8,5,4,3,0,12,0,0,0,0,0,0,0,0.0,0.0,0.698,0.0,1.047,0.0,2.791,0.0,0.0
343317,Steve Ngoura,111,LE Havre,61,2023,F,15,12,1,11,247,6.58,2,5,2,0,0,1,0,49,1,2,0,0,31,9,4,3,3,1,6,1,0,0,0,0,0,0,0.0,0.364,1.822,0.729,0.364,0.729,3.279,0.364,0.0
156465,Issa Soumaré,111,LE Havre,61,2023,F,11,7,3,4,236,6.598,4,5,1,0,0,0,0,58,3,2,0,0,61,32,7,3,4,8,6,0,0,0,0,0,0,0,0.0,0.0,1.907,0.381,1.144,0.763,12.203,0.0,0.0
646,Mathieu Gorgelin,111,LE Havre,61,2023,G,30,1,1,0,90,6.9,0,0,0,0,2,0,3,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22009,Nolan Mbemba,111,LE Havre,61,2023,M,13,6,0,6,49,6.675,0,2,1,1,0,0,0,32,0,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1.837,0.0,3.673,1.837,0.0,3.673,3.673,0.0,0.0
364093,Simon Ebonog,111,LE Havre,61,2023,M,8,4,0,4,34,6.594,0,0,0,0,0,0,0,21,0,1,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.647,10.588,0.0,0.0
