player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
416,Sebastian Rudy,167,1899 Hoffenheim,78,2019,M,32,32,31,1,2744,6.998,1,25,8,1,0,3,0,1116,54,67,6,26,0,0,27,18,47,34,28,9,0,0,1,0,0,0,0.033,0.098,0.82,0.262,1.771,2.198,0.0,0.295,0.0
702,Oliver Baumann,167,1899 Hoffenheim,78,2019,G,30,30,30,0,2716,6.964,0,0,0,0,49,0,99,837,1,0,0,3,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.033,0.0
1298,Robert Skov,167,1899 Hoffenheim,78,2019,M,31,31,29,2,2628,7.145,1,62,19,4,0,7,0,789,54,37,6,21,0,0,73,40,23,36,21,4,0,0,0,0,0,0,0.137,0.24,2.123,0.651,1.849,1.267,0.0,0.137,0.0
709,Pavel Kadeřábek,167,1899 Hoffenheim,78,2019,M,30,30,28,2,2487,6.964,2,27,10,2,0,7,0,745,38,27,6,26,0,0,18,9,15,35,30,2,0,0,0,0,0,0,0.072,0.253,0.977,0.362,1.375,0.977,0.0,0.072,0.0
719,Florian Grillitsch,167,1899 Hoffenheim,78,2019,M,31,31,28,3,2428,7.027,0,17,1,0,0,3,0,1547,18,53,6,50,0,0,40,28,31,48,25,3,0,0,0,0,0,0,0.0,0.111,0.63,0.037,0.667,1.965,0.0,0.111,0.0
711,Stefan Posch,167,1899 Hoffenheim,78,2019,D,28,28,28,0,2332,6.836,0,25,6,0,0,0,0,1104,5,50,24,42,0,0,13,9,28,21,39,9,0,0,2,0,0,0,0.0,0.0,0.965,0.232,0.193,1.93,0.0,0.347,0.0
25389,Ihlas Bebou,167,1899 Hoffenheim,78,2019,F,32,32,25,7,2104,6.798,3,35,17,6,0,1,0,414,31,24,3,10,0,0,97,50,15,29,24,1,0,0,0,0,0,0,0.257,0.043,1.497,0.727,1.326,1.027,0.0,0.043,0.0
708,Benjamin Hübner,167,1899 Hoffenheim,78,2019,D,25,25,25,0,2086,6.928,1,27,4,1,0,4,0,1357,8,43,13,29,0,0,6,3,22,27,23,6,2,0,2,0,0,0,0.043,0.173,1.165,0.173,0.345,1.855,0.0,0.259,0.086
715,Christoph Baumgartner,167,1899 Hoffenheim,78,2019,M,26,26,21,5,1500,6.762,5,55,23,7,0,2,0,341,18,30,1,8,0,0,48,23,28,29,37,3,0,1,0,0,0,0,0.42,0.12,3.3,1.38,1.08,1.8,0.0,0.18,0.0
726,Andrej Kramarić,167,1899 Hoffenheim,78,2019,F,19,19,14,5,1428,7.305,7,43,25,12,0,2,0,428,28,2,0,4,0,0,34,22,6,19,6,3,0,0,0,2,0,0,0.756,0.126,2.71,1.576,1.765,0.126,0.0,0.189,0.0
1094,Diadie Samassekou,167,1899 Hoffenheim,78,2019,M,21,21,19,2,1331,6.851,0,6,1,0,0,1,0,480,9,36,7,40,0,0,22,16,21,12,18,4,0,0,0,0,0,0,0.0,0.068,0.406,0.068,0.609,2.434,0.0,0.27,0.0
705,Ermin Bičakčić,167,1899 Hoffenheim,78,2019,D,21,21,16,5,1184,6.909,1,7,2,2,0,0,0,682,2,5,8,22,0,0,2,1,6,14,7,0,0,0,0,0,0,0,0.152,0.0,0.532,0.152,0.152,0.38,0.0,0.0,0.0
718,Dennis Geiger,167,1899 Hoffenheim,78,2019,M,21,21,14,7,1152,6.88,1,13,0,0,0,3,0,476,30,8,2,6,0,0,7,6,15,15,27,3,0,0,0,0,0,0,0.0,0.234,1.016,0.0,2.344,0.625,0.0,0.234,0.0
25366,Kevin Akpoguma,167,1899 Hoffenheim,78,2019,D,18,18,14,4,1148,6.749,0,2,0,0,0,0,0,654,2,24,11,12,0,0,2,1,11,13,8,2,0,0,1,0,0,0,0.0,0.0,0.157,0.0,0.157,1.882,0.0,0.157,0.0
