player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
22224,Gabriel Magalhães,42,Arsenal,39,2021,D,35,35,35,0,3068,7.052,1,25,12,5,0,0,0,2038,9,50,26,13,225,147,4,4,11,38,23,8,1,0,0,0,0,0,0.147,0.0,0.733,0.352,0.264,1.467,4.312,0.235,0.029
20355,Aaron Ramsdale,42,Arsenal,39,2021,G,36,34,34,0,3060,6.915,0,0,0,0,39,0,90,1010,0,2,0,0,17,14,1,1,1,5,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.059,0.412,0.029,0.0
1460,Bukayo Saka,42,Arsenal,39,2021,M,38,38,36,2,2991,7.084,17,58,31,11,0,7,0,1062,69,40,2,22,371,165,102,43,26,59,39,6,0,2,0,2,0,0,0.331,0.211,1.745,0.933,2.076,1.204,4.965,0.181,0.0
19959,Ben White,42,Arsenal,39,2021,D,34,32,32,0,2880,6.966,0,8,4,0,0,0,0,1810,14,44,24,42,238,141,20,10,17,27,19,3,0,0,1,0,0,0,0.0,0.0,0.25,0.125,0.438,1.375,4.406,0.094,0.0
37127,Martin Ødegaard,42,Arsenal,39,2021,M,36,36,32,4,2791,7.075,3,33,21,7,0,4,0,1559,77,49,1,11,266,108,46,25,39,20,27,4,0,0,2,0,0,0,0.226,0.129,1.064,0.677,2.483,1.58,3.483,0.129,0.0
1464,Granit Xhaka,42,Arsenal,39,2021,M,27,27,27,0,2331,6.896,2,16,5,1,0,2,0,1543,32,32,6,21,207,97,26,19,25,19,29,10,1,0,1,0,0,0,0.039,0.077,0.618,0.193,1.236,1.236,3.745,0.386,0.039
49,Thomas Partey,42,Arsenal,39,2021,M,24,24,23,1,2032,7.007,0,30,10,2,0,1,0,1205,17,43,4,23,227,118,43,35,26,17,33,5,0,0,0,0,0,0,0.089,0.044,1.329,0.443,0.753,1.905,5.226,0.221,0.0
1161,Emile Smith Rowe,42,Arsenal,39,2021,M,35,33,21,12,1926,6.977,2,31,23,10,0,2,0,767,30,14,1,15,159,74,53,32,16,21,5,1,0,0,0,0,0,0,0.467,0.093,1.449,1.075,1.402,0.654,3.458,0.047,0.0
1117,Kieran Tierney,42,Arsenal,39,2021,D,26,22,22,0,1918,6.965,1,10,5,1,0,3,0,904,20,18,5,15,105,55,23,9,1,16,5,0,0,0,0,0,0,0,0.047,0.141,0.469,0.235,0.938,0.845,2.581,0.0,0.0
127769,Gabriel Martinelli,42,Arsenal,39,2021,M,36,29,21,8,1866,7.041,10,40,16,6,0,6,0,526,34,27,1,20,261,110,79,45,19,20,24,3,1,0,0,1,0,0,0.289,0.289,1.929,0.772,1.64,1.302,5.305,0.145,0.048
