player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
1447,Nacho Monreal,42,Arsenal,39,2015,D,37,37,36,1,3248,7.11,2,12,5,0,0,3,0,1576,28,79,11,106,334,205,24,16,30,41,28,1,0,0,1,0,0,0,0.0,0.083,0.333,0.139,0.776,2.189,5.68,0.028,0.0
1439,Héctor Bellerín,42,Arsenal,39,2015,D,36,36,36,0,3240,6.947,1,13,3,1,0,5,0,1446,25,57,7,66,312,166,95,63,22,8,19,3,0,0,0,0,0,0,0.028,0.139,0.361,0.083,0.694,1.583,4.611,0.083,0.0
1436,Petr Čech,42,Arsenal,39,2015,G,34,34,34,0,3060,7.012,0,0,0,0,31,0,101,503,1,0,0,1,14,12,2,2,1,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.029,0.0,0.353,0.0,0.0
1458,Mesut Özil,42,Arsenal,39,2015,M,35,35,35,0,3047,7.633,15,47,20,6,0,19,0,1964,147,35,0,22,297,126,81,46,42,43,20,4,0,0,0,0,0,0,0.177,0.561,1.388,0.591,4.342,1.034,3.722,0.118,0.0
1443,Laurent Koscielny,42,Arsenal,39,2015,D,33,33,33,0,2846,7.336,1,19,8,4,0,0,0,1472,8,47,27,126,299,186,11,10,14,26,31,4,0,0,0,0,0,0,0.126,0.0,0.601,0.253,0.253,1.486,5.882,0.126,0.0
1459,Aaron Ramsey,42,Arsenal,39,2015,M,31,31,30,1,2623,7.153,5,69,21,5,0,4,0,1854,39,78,11,57,419,190,65,39,65,47,47,4,0,0,0,0,0,0,0.172,0.137,2.368,0.721,1.338,2.676,6.519,0.137,0.0
910,Alexis Sánchez,42,Arsenal,39,2015,M,30,30,28,2,2446,7.529,13,107,38,13,0,4,0,1142,64,47,3,24,493,235,165,101,25,65,32,1,0,1,0,0,0,0,0.478,0.147,3.937,1.398,2.355,1.729,8.647,0.037,0.0
2295,Olivier Giroud,42,Arsenal,39,2015,F,38,38,34,4,2424,7.241,26,101,43,16,0,6,0,571,36,34,4,11,385,178,25,11,22,33,40,2,0,0,0,1,0,0,0.594,0.223,3.75,1.597,1.337,1.262,6.609,0.074,0.0
90489,Per Mertesacker,42,Arsenal,39,2015,D,24,24,24,0,2049,6.959,1,8,2,0,0,0,0,1113,2,27,10,36,119,88,3,3,5,6,7,1,1,0,0,0,0,0,0.0,0.0,0.351,0.088,0.088,1.186,3.865,0.044,0.044
915,Gabriel Paulista,42,Arsenal,39,2015,D,21,21,19,2,1761,7.283,0,11,4,1,0,0,0,1003,1,42,13,62,161,105,4,3,10,11,9,4,1,0,0,0,0,0,0.051,0.0,0.562,0.204,0.051,2.147,5.366,0.204,0.051
924,Francis Coquelin,42,Arsenal,39,2015,M,26,26,23,3,1646,7.37,0,8,0,0,0,0,0,994,7,72,7,77,229,145,36,30,21,24,24,7,1,0,0,0,0,0,0.0,0.0,0.437,0.0,0.383,3.937,7.928,0.383,0.055
18769,Theo Walcott,42,Arsenal,39,2015,M,28,28,19,9,1374,6.812,13,45,22,5,0,2,0,247,19,11,1,14,145,65,49,25,9,24,3,0,0,1,0,0,0,0,0.328,0.131,2.948,1.441,1.245,0.721,4.258,0.0,0.0
1695,Santi Cazorla,42,Arsenal,39,2015,M,15,15,15,0,1292,7.636,2,24,8,0,0,3,0,1109,39,28,1,26,153,80,46,37,27,14,13,3,1,0,0,0,1,0,0.0,0.209,1.672,0.557,2.717,1.95,5.573,0.209,0.07
47261,Mathieu Flamini,42,Arsenal,39,2015,M,16,16,14,2,1089,6.926,0,7,2,0,0,0,0,545,3,30,13,35,87,47,4,2,12,3,18,2,0,0,0,0,0,0,0.0,0.0,0.579,0.165,0.248,2.479,3.884,0.165,0.0
297,Alex Oxlade-Chamberlain,42,Arsenal,39,2015,M,22,22,17,5,919,7.088,2,23,5,1,0,0,0,362,19,23,5,12,151,80,51,36,11,13,11,0,0,0,0,0,0,0,0.098,0.0,2.252,0.49,1.861,2.252,7.835,0.0,0.0
2845,Joel Campbell,42,Arsenal,39,2015,M,19,19,14,5,887,7.064,3,19,7,3,0,2,0,269,13,26,3,10,139,74,27,17,21,25,9,0,0,0,0,0,0,0,0.304,0.203,1.928,0.71,1.319,2.638,7.508,0.0,0.0
1452,Mohamed Elneny,42,Arsenal,39,2015,M,11,11,10,1,794,6.953,0,13,2,0,0,1,0,685,3,10,3,16,65,30,5,4,12,11,9,3,0,0,0,0,0,0,0.0,0.113,1.474,0.227,0.34,1.134,3.401,0.34,0.0
1455,Alex Iwobi,42,Arsenal,39,2015,M,13,13,12,1,632,7.218,0,15,7,2,0,2,0,315,12,8,0,3,67,30,24,16,3,5,3,0,0,0,0,0,0,0,0.285,0.285,2.136,0.997,1.709,1.139,4.272,0.0,0.0
1469,Danny Welbeck,42,Arsenal,39,2015,F,11,11,8,3,578,7.003,0,20,11,4,0,2,0,114,8,11,0,2,98,44,27,14,0,9,6,1,0,0,0,0,0,0,0.623,0.311,3.114,1.713,1.246,1.713,6.851,0.156,0.0
19148,Kieran Gibbs,42,Arsenal,39,2015,D,15,15,9,6,381,6.759,2,5,1,1,0,0,0,147,1,12,0,11,56,28,5,2,4,6,3,0,0,0,0,0,0,0,0.236,0.0,1.181,0.236,0.236,2.835,6.614,0.0,0.0
313,David Ospina,42,Arsenal,39,2015,G,4,4,4,0,360,7.225,0,0,0,0,5,0,17,61,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
19016,Calum Chambers,42,Arsenal,39,2015,D,12,12,8,4,315,6.945,0,2,1,0,0,0,0,163,2,8,8,10,48,29,6,5,1,3,6,2,0,0,0,0,0,0,0.0,0.0,0.571,0.286,0.571,2.286,8.286,0.571,0.0
114745,Mikel Arteta,42,Arsenal,39,2015,M,9,9,6,3,161,6.619,0,1,1,0,0,0,0,115,1,8,1,7,35,20,0,0,2,4,8,1,0,0,0,0,0,0,0.0,0.0,0.559,0.559,0.559,4.472,11.18,0.559,0.0
22085,Mathieu Debuchy,42,Arsenal,39,2015,D,2,2,2,0,144,6.828,0,1,0,0,0,0,0,59,1,9,0,3,27,17,1,1,1,1,3,0,0,0,0,0,0,0,0.0,0.0,0.625,0.0,0.625,5.625,10.625,0.0,0.0
18829,Jack Wilshere,42,Arsenal,39,2015,M,3,3,3,0,141,6.7,0,1,0,0,0,0,0,70,1,3,0,2,25,15,8,6,4,4,1,0,0,0,0,0,0,0,0.0,0.0,0.638,0.0,0.638,1.915,9.574,0.0,0.0
