player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
20355,Aaron Ramsdale,42,Arsenal,39,2022,G,38,38,38,0,3420,6.855,0,0,0,0,43,0,95,934,0,1,0,0,12,12,1,1,0,4,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.026,0.316,0.026,0.0
22224,Gabriel Magalhães,42,Arsenal,39,2022,D,38,38,38,0,3411,7.046,1,26,10,3,0,0,0,2396,5,48,26,32,305,190,1,1,9,41,26,5,0,0,2,0,0,0,0.079,0.0,0.686,0.264,0.132,1.266,5.013,0.132,0.0
1460,Bukayo Saka,42,Arsenal,39,2022,F,38,38,37,1,3191,7.338,9,60,32,14,0,11,0,1235,76,63,0,14,430,203,128,59,24,65,43,6,0,0,0,2,1,0,0.395,0.31,1.692,0.903,2.144,1.777,5.725,0.169,0.0
37127,Martin Ødegaard,42,Arsenal,39,2022,M,37,37,37,0,3143,7.374,1,60,33,15,0,7,0,1689,77,36,5,6,280,123,77,48,33,26,30,4,0,0,0,0,0,0,0.43,0.2,1.718,0.945,2.205,1.031,3.522,0.115,0.0
19959,Benjamin White,42,Arsenal,39,2022,D,38,38,36,2,3073,6.952,1,8,3,2,0,5,0,1951,27,60,11,22,249,131,23,8,27,30,28,5,0,0,0,0,0,0,0.059,0.146,0.234,0.088,0.791,1.757,3.837,0.146,0.0
1464,Granit Xhaka,42,Arsenal,39,2022,M,37,37,36,1,3013,7.083,5,26,14,7,0,7,0,1571,47,34,10,15,234,123,23,13,24,39,25,4,0,0,0,0,0,0,0.209,0.209,0.777,0.418,1.404,1.016,3.674,0.119,0.0
127769,Gabriel Martinelli,42,Arsenal,39,2022,F,36,36,34,2,2805,7.244,8,55,32,15,0,5,0,977,59,31,1,9,367,141,114,59,13,37,39,3,0,0,0,0,0,0,0.481,0.16,1.765,1.027,1.893,0.995,4.524,0.096,0.0
49,Thomas Partey,42,Arsenal,39,2022,M,33,33,28,5,2497,7.195,0,18,4,3,0,0,0,1946,26,69,5,28,278,163,42,34,27,23,37,5,0,0,0,0,0,0,0.108,0.0,0.649,0.144,0.937,2.487,5.875,0.18,0.0
22090,William Saliba,42,Arsenal,39,2022,D,27,27,27,0,2416,7.006,0,6,3,2,0,1,0,1864,6,34,10,19,179,108,9,8,3,13,19,4,0,0,2,0,0,0,0.075,0.037,0.224,0.112,0.224,1.267,4.023,0.149,0.0
641,Oleksandr Zinchenko,42,Arsenal,39,2022,D,27,27,26,1,2133,6.95,1,20,7,1,0,2,0,1716,20,40,2,22,185,117,24,15,18,11,6,3,0,0,0,0,0,0,0.042,0.084,0.844,0.295,0.844,1.688,4.937,0.127,0.0
