player_id,player_name,team_id,team_name,league_id,season,position,squad_rows,appearances,starts,sub_appearances,minutes,avg_rating,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,goals_total_per90,goals_assists_per90,shots_total_per90,shots_on_per90,passes_key_per90,tackles_total_per90,duels_won_per90,cards_yellow_per90,cards_red_per90
19465,David Raya,42,Arsenal,39,2024,G,38,38,38,0,3425,7.034,0,0,0,0,34,0,86,1232,1,0,0,2,27,24,1,1,2,10,1,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.026,0.0,0.631,0.079,0.0
22090,William Saliba,42,Arsenal,39,2024,D,35,35,35,0,3046,7.061,1,5,3,2,0,0,0,2548,7,61,15,21,236,151,18,12,7,17,28,2,1,0,1,0,0,0,0.059,0.0,0.148,0.089,0.207,1.802,4.462,0.059,0.03
2937,Declan Rice,42,Arsenal,39,2024,M,36,35,33,2,2838,7.395,2,33,15,4,0,7,0,1476,61,53,13,25,236,120,28,14,24,16,21,7,1,0,0,0,0,0,0.127,0.222,1.047,0.476,1.934,1.681,3.805,0.222,0.032
49,Thomas Partey,42,Arsenal,39,2024,M,37,35,31,4,2814,7.203,1,21,9,4,0,2,0,1839,19,89,9,35,300,172,33,24,30,31,45,4,0,0,0,0,0,0,0.128,0.064,0.672,0.288,0.608,2.846,5.501,0.128,0.0
1946,Leandro Trossard,42,Arsenal,39,2024,F,38,38,28,10,2563,7.228,6,44,22,8,0,7,0,854,42,31,0,9,280,121,75,38,22,46,27,4,1,0,0,0,0,0,0.281,0.246,1.545,0.773,1.475,1.089,4.249,0.14,0.035
38746,Jurriën Timber,42,Arsenal,39,2024,D,32,30,27,3,2427,7.019,6,8,4,1,0,3,0,1182,17,58,4,22,239,133,48,24,9,29,31,7,0,0,0,0,0,0,0.037,0.111,0.297,0.148,0.63,2.151,4.932,0.26,0.0
22224,Gabriel Magalhães,42,Arsenal,39,2024,D,28,28,28,0,2370,7.284,0,15,5,3,0,1,0,1627,14,25,29,16,164,101,5,4,4,19,19,4,0,1,0,0,0,0,0.114,0.038,0.57,0.19,0.532,0.949,3.835,0.152,0.0
37127,Martin Ødegaard,42,Arsenal,39,2024,M,30,30,26,4,2330,7.37,1,30,17,3,0,8,0,1390,64,19,0,6,186,75,57,25,21,23,12,4,0,0,0,1,0,0,0.116,0.309,1.159,0.657,2.472,0.734,2.897,0.155,0.0
127769,Gabriel Martinelli,42,Arsenal,39,2024,F,35,33,25,8,2299,7.044,8,40,25,8,0,4,0,588,40,23,0,5,262,94,92,33,16,21,16,1,0,0,0,0,0,0,0.313,0.157,1.566,0.979,1.566,0.9,3.68,0.039,0.0
978,Kai Havertz,42,Arsenal,39,2024,F,24,23,21,2,1874,7.062,14,44,21,9,0,3,0,502,17,16,4,6,282,111,33,9,11,23,38,5,0,0,0,0,0,0,0.432,0.144,2.113,1.009,0.816,0.768,5.331,0.24,0.0
